DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
4.0.00,FVS Version 4.0,2009-02-20 00:00:00,2010-03-05 00:00:00,N
4.0.00,SPATIAL Version 4.0,2009-02-20 00:00:00,2010-03-05 00:00:00,N
4.0.07,THIS IS RELEASE 07 OF FVS VERSION 4.0 PROD,2010-03-05 00:00:00,2010-03-05 00:00:00,N
4.0.07,THIS IS RELEASE 07 OF SPATIAL VERSION 4.0 PROD,2010-03-05 00:00:00,2010-03-05 00:00:00,N
4.0.08,THIS IS RELEASE 08 OF FVS VERSION 4.0 PROD,2010-03-05 00:00:00,2010-09-14 00:00:00,N
4.0.08,THIS IS RELEASE 08 OF SPATIAL VERSION 4.0 PROD,2010-03-05 00:00:00,2010-09-14 00:00:00,N
4.0.09,THIS IS RELEASE 09 OF FVS VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.09,THIS IS RELEASE 09 OF SPATIAL VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.10,THIS IS RELEASE 10 OF FVS VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.10,THIS IS RELEASE 10 OF SPATIAL VERSION 4.0 PROD,2010-09-14 00:00:00,2010-09-14 00:00:00,N
4.0.11,THIS IS RELEASE 11 OF FVS VERSION 4.0 PROD,2010-09-14 00:00:00,2011-01-06 00:00:00,N
4.0.11,THIS IS RELEASE 11 OF SPATIAL VERSION 4.0 PROD,2010-09-14 00:00:00,2011-01-06 00:00:00,N
4.0.12,THIS IS RELEASE 12 OF FVS VERSION 4.0 PROD,2011-01-06 00:00:00,2011-11-23 00:00:00,N
4.0.12,THIS IS RELEASE 12 OF SPATIAL VERSION 4.0 PROD,2011-01-06 00:00:00,2011-11-23 00:00:00,N
5.1.00,THIS IS FVS VERSION 5.1 PROD,2011-11-23 00:00:00,2012-02-27 00:00:00,N
5.1.00,THIS IS SPATIAL VERSION 5.1 PROD,2011-11-23 00:00:00,2012-02-27 00:00:00,N
5.1.01,THIS IS RELEASE 01 OF FVS VERSION 5.1 PROD,2012-02-27 00:00:00,2012-05-23 00:00:00,N
5.1.01,THIS IS RELEASE 01 OF SPATIAL VERSION 5.1 PROD,2012-02-27 00:00:00,2012-05-23 00:00:00,N
5.1.02,THIS IS RELEASE 02 OF FVS VERSION 5.1 PROD,2012-05-23 00:00:00,2012-10-05 00:00:00,N
5.1.02,THIS IS RELEASE 02 OF SPATIAL VERSION 5.1 PROD,2012-05-23 00:00:00,2012-10-05 00:00:00,N
5.1.03,THIS IS RELEASE 03 of FVS VERSION 5.1 PROD,2012-10-05 00:00:00,2012-11-15 00:00:00,N
5.1.03,THIS IS RELEASE 03 of SPATIAL VERSION 5.1 PROD,2012-10-05 00:00:00,2012-11-15 00:00:00,N
5.1.04,THIS IS RELEASE 04 of FVS VERSION 5.1 PROD,2012-11-15 00:00:00,2013-03-01 00:00:00,N
5.1.04,THIS IS RELEASE 04 of SPATIAL VERSION 5.1 PROD,2012-11-15 00:00:00,2013-03-01 00:00:00,N
5.1.05,THIS IS RELEASE 05 of FVS VERSION 5.1 PROD,2013-03-01 00:00:00,2013-06-24 00:00:00,N
5.1.05,THIS IS RELEASE 05 of SPATIAL VERSION 5.1 PROD,2013-03-01 00:00:00,2013-06-24 00:00:00,N
