ENTITY_NAME,ENTITY_SHORTNAME
POP_STAT_SAMP_CONSTR_ASSGN_RPT,
NUTS_VAR_LIBRARY,NTVL
REF_DAMAGE_AGENT,RDA
REF_DAMAGE_AGENT_GROUP,RDAG
SO_INVENTORY,INV
ID_PLOT_INV_ASSGN,PINVA
ADMIN_DB_VERSION,ADBVER
ADMIN_ENTITY_SHORTNAME,AES
ADMIN_PUB_DATA_STANDARD,PDS
ID_INVASIVE_SUBP_COND,ISPCND
REF_COUNTY,RCTY
ID_BUILDING_INTERACTION,BINTA
ID_COND,CND
ID_ENERGY_EFFECT,EE
ID_MOTHER_TREE,MTRE
ID_PLOT,PLT
ID_PLOT_STAT_SAMP_ASSGN,PSSA
ID_PLOT_STRAT_CALC_ASSGN,PSCA
ID_SEEDLING,SDL
ID_SITETREE,SIT
ID_SUBPLOT,SBP
ID_SUBP_COND,SPCND
ID_TREE,TRE
ID_WOODLAND_STEM,WDS
MOD_POLLUTION_HEALTH_FCTR,MPHF
MOD_POLLUTION_REMOVAL,MPR
MOD_RAINFALL,MR
MOD_VOC_EMISSION,MVOCE
POP_ATTRIBUTE,PATTR
POP_CALCULATION,PCALC
POP_DOMAIN,PDOM
POP_SAMPLE_CONSTRAINT,PSCON
POP_STAT_SAMP,PSS
POP_STAT_SAMP_ATTRIBUTE_ASSGN,PSSAA
POP_STAT_SAMP_DOMAIN_ASSGN,PSSDA
POP_STRATUM_CALC,PSC
REF_CITATION,RCIT
REF_FOREST_TYPE,RFT
REF_FOREST_TYPE_GROUP,RFTG
REF_SPECIES,RS
REF_INVASIVE_SPECIES,RIS
REF_PLANT_DICTIONARY,RPD
REF_UNIT,RUNT
SO_POP_STRUCT_ELMT,PSTREL
SO_PROJECT,PRJ
SO_RESEARCH_ORGANIZATION,RESORG
ADMIN_PUB_SUMMARY_RPT,APSR
POP_SAMPLE_CONSTRAINT_ASSGN,PSCONA
POP_SAMPLE_CONSTRAINT_GROUP,PSCG
REF_ABNORMAL_TERMINATION,RAT
REF_ABSENT_PRESENT,RAP
REF_BOLE_STUMP_REMOVED,RBSR
REF_CANOPY_COVER_SAMPLE_METHOD,RCCSM
REF_CAUSE_OF_DEATH,RCOD
REF_CONDITION_NONSAMPLE_REASON,RCNR
REF_CONDITION_SAMPLING_STATUS,RCSS
REF_COVER_CLASS,RCC
REF_CROWN_CLASS,RCC2
REF_CROWN_LIGHT_EXPOSURE,RCLE
REF_DECAY_CLASS,RDC
REF_DIA_CHECK,RDC2
REF_DISTURBANCE,RD
REF_FIA_LANDUSE,RFL
REF_FIA_LANDUSE_DETAILED,RFLD
REF_FOREST_LAND_COND_STAT_CHG,RFLCSC
REF_HORIZ_DIST_IMPRVD_ROAD,RHDIR
REF_INVS_COND_SAMPLING_STATUS,RICSS
REF_ITREE_LANDUSE,RIL
REF_SPECIES_GROUP,RSG
REF_SAMPLE_METHOD_CD,RSMC
REF_TREE_CARBON_RATIO_DEAD,RTCRD
REF_TREE_DECAY_PROP,RTDP
REF_TREE_STND_DEAD_CR_PROP,RTSDCP
REF_ITREE_LANDUSE_DETAILED,RILD
REF_LAND_COVER_CLASS,RLCC
REF_LENGTH_METHOD,RLM
REF_NO_YES,RNY
REF_OWNER_CLASS,ROC
REF_OWNER_GROUP,ROG
REF_PERCENT_CLASS_CODE,RPCC
REF_PHYSIOGRAPHIC_CLASS,RPC
REF_PLOT_NONSAMPLE_REASON,RPNR
REF_PLOT_STATUS,RPS
REF_PREV_TREE_STATUS,RPTS
REF_PRODUCTIVITY_STATUS,RPS2
REF_RECONCILE,RR
REF_REGENERATION_STATUS,RRS
REF_RESERVED_STATUS,RRS2
REF_SAMPLE_KIND,RSK
REF_SEEDLING_MAINTAINED_AREA,RSMA
REF_SEEDLING_PLANTED,RSP
REF_SITE_CLASS_CODE,RSCC
REF_STAND_SIZE_CLASS,RSSC
REF_SUBPLOT_NONSAMPLE_REASON,RSNR
REF_SUBPLOT_STATUS,RSS
REF_TREATMENT,RT
REF_TREE_CLASS,RTC
REF_TREE_DENSITY,RTD
REF_TREE_PLANTED,RTP
REF_TREE_STATUS,RTS
REF_WATER_ON_PLOT,RWOP
