PROJECT_NAME,LOAD_TYPE,BEGIN_INVYR_LOADED,END_INVYR_LOADED,LATEST_LOAD_DATE,CURRENT_CDS,RECORDS_LOADED,CREATED_DATE,MODIFIED_DATE
"FIA-Urban Inventory of Austin, TX",MODELED,2014,2022,2024-08-22 13:35:09,FIA Urban-10,74.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Austin, TX",PROJECT,2014,2022,2024-11-08 09:09:07,FIA Urban-10,17.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Austin, TX",INVENTORY,2014,2022,2024-08-22 13:48:28,FIA Urban-10,461.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Austin, TX",STAT_SAMP,2014,2022,2024-11-08 09:10:32,FIA Urban-10,22.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Austin, TX",ITREE_DATA,2014,2022,2024-10-29 14:26:47,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Chicago, IL",MODELED,2016,2022,2024-08-22 13:36:46,FIA Urban-10,61.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Chicago, IL",PROJECT,2016,2022,2024-11-08 09:09:08,FIA Urban-10,10.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Chicago, IL",INVENTORY,2016,2022,2024-09-11 07:49:33,FIA Urban-10,583.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Chicago, IL",STAT_SAMP,2016,2022,2024-11-08 09:10:58,FIA Urban-10,12.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Chicago, IL",ITREE_DATA,2016,2022,2024-11-25 10:52:09,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Houston, TX",MODELED,2015,2022,2024-08-22 13:35:10,FIA Urban-10,75.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Houston, TX",PROJECT,2015,2022,2024-11-08 09:09:08,FIA Urban-10,18.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Houston, TX",INVENTORY,2015,2022,2024-08-22 14:55:44,FIA Urban-10,785.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Houston, TX",STAT_SAMP,2015,2022,2024-11-08 09:10:39,FIA Urban-10,25.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Houston, TX",ITREE_DATA,2015,2022,2024-10-29 14:36:20,FIA Urban-10,,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Madison, WI",MODELED,2015,2022,2024-08-22 13:36:46,FIA Urban-10,61.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Madison, WI",PROJECT,2015,2022,2024-11-08 09:09:09,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Madison, WI",INVENTORY,2015,2022,2024-09-11 07:59:19,FIA Urban-10,302.0,2024-12-05 07:40:43,2025-05-08 07:27:43
"FIA-Urban Inventory of Madison, WI",STAT_SAMP,2015,2022,2024-11-08 09:11:00,FIA Urban-10,8.0,2024-12-05 07:40:43,2025-05-08 07:27:43
