PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,BLDG_INTERACTION_ID,DISTANCE_CD,AZIMUTH,ITREE_ECO_VERSION,ELEC_AVOID_VALUE_SUM,ELEC_AVOID_SUM,FUEL_AVOID_VALUE_SUM,FUEL_AVOID_SUM,CARBON_AVOID_VALUE_SUM,CARBON_AVOID_SUM,COOLING_CLIMATE_C_ELEC_AVOID,COOLING_CLIMATE_ELEC_AVOID,COOLING_SHADING_C_ELEC_AVOID,COOLING_SHADING_ELEC_AVOID,HEATING_CLIMATE_FUEL_AVOID,HEATING_CLIMATE_C_FUEL_AVOID,HEATING_CLIMATE_C_ELEC_AVOID,HEATING_CLIMATE_ELEC_AVOID,HEATING_SHADING_FUEL_AVOID,HEATING_SHADING_C_FUEL_AVOID,HEATING_SHADING_C_ELEC_AVOID,HEATING_SHADING_ELEC_AVOID,HEATING_WINDBREAK_FUEL_AVOID,HEATING_WINDBREAK_C_FUEL_AVOID,HEATING_WINDBREAK_C_ELEC_AVOID,HEATING_WINDBREAK_ELEC_AVOID,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN
1469919,4,55,5,59,20011,1,1,14,2,,,6.0.35,1.934601277,14.09032248,9.489287664,1122493.147,5.719932941,245.9454417,5.327516457,4.796497667,-0.050121079,-0.045125274,1126510.875,231.1194772,10.41038899,9.37273623,-4017.72837,-0.824293223,-0.037526595,-0.033786141,0.0,0.0,0.0,0.0,505940887126144,923671,505940844126144,505940842126144,505940860126144,
1469478,1,55,5,59,22292,1,1,4,1,,,6.0.35,2.744705898,19.99057464,2.249233625,266063.1039,1.785905601,76.79029568,9.932603128,8.942573545,9.773610066,8.799428075,300698.6927,61.6925466,2.821016968,2.53983285,-34635.58888,-7.105975957,-0.323505121,-0.291259834,0.0,0.0,0.0,0.0,785694717290487,923693,785694652290487,785694646290487,785694681290487,
1469478,1,55,5,59,22292,1,1,7,1,,,6.0.35,12.77100488,93.01533049,-7.647438683,-904619.8003,-1.913634728,-82.28238743,9.932603128,8.942573545,101.8173874,91.6687663,300698.6927,61.6925466,2.821016968,2.53983285,-1205318.493,-247.2879633,-11.25797821,-10.13584221,0.0,0.0,0.0,0.0,785694720290487,923693,785694652290487,785694646290487,785694684290487,
1469478,1,55,5,59,22292,1,1,10,2,,,6.0.35,8.516933807,62.0315645,-3.313984536,-392013.0849,-0.268103714,-11.52791251,9.932603128,8.942573545,62.61554236,56.37435478,300698.6927,61.6925466,2.821016968,2.53983285,-692711.7776,-142.1195191,-6.470102417,-5.825196675,0.0,0.0,0.0,0.0,785694727290487,923693,785694652290487,785694646290487,785694687290487,
1469478,1,55,5,59,22292,1,1,11,2,,,6.0.35,2.606476724,18.98380717,8.877554296,1050130.864,5.501064542,236.5345473,3.250865319,2.92683618,7.840368134,7.05888152,98273.0907,20.16210038,0.922063909,0.830157434,-205735.4032,-42.20949827,-1.921620467,-1.730083457,1157593.177,237.4964465,10.99382176,9.898015492,785694729290487,923693,785694652290487,785694646290487,785694688290487,
1467849,1,55,5,59,21553,1,1,4,3,,,6.0.35,7.640746549,55.65001129,-0.88177364,-104305.4972,0.93984168,40.41127398,5.036101176,4.534129127,57.789599,52.02943605,556264.4511,114.1254398,5.155196475,4.641353634,-660569.9483,-135.5251729,-6.169889638,-5.554907525,0.0,0.0,0.0,0.0,785692944290487,923694,785692881290487,785692876290487,785692902290487,
1468333,1,55,5,59,21795,1,1,6,1,,,6.0.35,5.517221909,40.18369926,-2.069788857,-244836.4818,-0.130220312,-5.599207641,10.0072233,9.009755973,36.94639419,33.26377214,706949.4583,145.0405787,6.568727158,5.913991021,-951785.9402,-195.2722106,-8.889920326,-8.003819875,0.0,0.0,0.0,0.0,942083567290487,924132,942083528290487,942083523290487,942083551290487,
1469307,1,55,5,59,22221,1,1,25,1,,,6.0.35,0.148936665,1.084753569,0.314128903,37158.48366,0.205322059,8.828429446,0.859307282,0.773656057,0.0,0.0,37158.48366,7.623583142,0.345539022,0.311097512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942163654290487,924136,942163483290487,942163480290487,942163527290487,
1469307,1,55,5,59,22221,1,1,30,1,,,6.0.35,3.793244004,27.62741445,-1.257313362,-148728.3011,0.004008188,0.172343893,9.851764607,8.869792582,22.23227773,20.01628134,212867.2521,43.67269692,1.979388228,1.782093232,-361595.5532,-74.18639008,-3.377393511,-3.040752709,0.0,0.0,0.0,0.0,942163659290487,924136,942163483290487,942163480290487,942163532290487,
1858000,1,17,3,31,22332,1,2,2,2,,,6.0.35,1.813943106,13.21153027,0.605391801,71612.13485,0.682972111,29.36640678,5.01188594,4.512327538,9.018213481,8.119325444,420923.5893,86.35836728,3.90673226,3.517329758,-349311.4545,-71.66613525,-3.262656936,-2.937452471,0.0,0.0,0.0,0.0,785696702290487,352769464489998,785696678290487,785696673290487,785696694290487,
