PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,CONDID,FIA_VOLUME_LOCATION_GROUP,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,FIA_LANDUSE,RESERVCD,OWNGRPCD,OWNCD,PHYSCLCD,STDORGCD,STDORGSP,FLDTYPCD,FLDSZCD,FLDAGE,MAPDEN,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,AFFORESTATION_CD,PREV_AFFORESTATION_CD,CHAINING_CD,ITREE_LANDUSE,LAND_COVER_CLASS_CD,PRODUCTIVITY_STATUS,COND_SITECLASS_FLD,DISTURBANCE_CD1,DISTURBANCE_CD2,DISTURBANCE_CD3,DISTURBANCE_YEAR1,DISTURBANCE_YEAR2,DISTURBANCE_YEAR3,TREATMENT_CD1,TREATMENT_CD2,TREATMENT_CD3,TREATMENT_YEAR1,TREATMENT_YEAR2,TREATMENT_YEAR3,CN,PLT_CN,PREV_PLT_CN,INVASIVE_STATUS_CD,INVASIVE_NONSAMPLE_REASON_CD,SITE_CLASS_CD,SITE_CLASS_METHOD,SITE_CLASS_SIT_CN,SITE_INDEX,BALIVE,COVER_CLASS,FOREST_COND_STATUS_CHANGE_CD
1852425,4,17,3,31,20183,1,S23LCS,2,,16,1.0,30.0,32.0,,,,,,,,1,2,2.0,,0.0,,0.0,5.0,3.0,,,,,,,,,,,,,,,491759137126144,352769759489998,,1.0,,,,,,,,
1852993,4,17,3,43,20011,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,15,15.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,491759587126144,352769772489998,,2.0,,,,,,,,
1837445,4,17,3,197,20088,1,S23LCS,1,,10,0.0,40.0,46.0,21.0,0.0,,701.0,2.0,50.0,1.0,1,95,95.0,,0.0,,0.0,8.0,1.0,1.0,,,,,,,,,,,,,,491757118126144,352769774489998,,1.0,,6.0,1.0,491757130126144.0,52.0,124.6717,,
1852464,4,17,3,31,20154,1,S23LCS,2,,16,0.0,30.0,32.0,,,,,,,,1,1,1.0,,0.0,,0.0,5.0,9.0,,,,,,,,,,,,,,,491757306126144,352769778489998,,1.0,,,,,,,,
1795837,4,17,3,89,20002,2,S23LCS,2,,13,0.0,30.0,32.0,,,,,,,,1,9,9.0,,0.0,,0.0,2.0,7.0,,,,,,,,,,,,,,,491757344126144,352769780489998,,1.0,,,,,,,,
1795853,4,17,3,89,20007,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,20,20.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,491757461126144,352769784489998,,1.0,,,,,,98.9356,,
1796095,4,17,3,93,20009,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,35,35.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,491757544126144,352769786489998,,1.0,,,,,,,,
1795846,4,17,3,89,20032,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,5,5.0,,0.0,,0.0,4.0,7.0,,,,,,,,,,,,,,,491757563126144,352769787489998,,2.0,,,,,,,,
1837522,4,17,3,197,20202,1,S23LCS,2,,15,0.0,40.0,46.0,,,,,,,,1,8,8.0,,0.0,,0.0,4.0,7.0,,,,,,,,,,,,,,,491757583126144,352769788489998,,1.0,,,,,,,,
1917629,4,18,4,89,20011,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,4,4.0,,0.0,,0.0,2.0,7.0,,,,,,,,,,,,,,,528824592126144,352769792489998,,1.0,,,,,,,,
1916233,4,18,4,89,20152,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,2,2.0,,0.0,,0.0,2.0,9.0,,,,,,,,,,,,,,,528824640126144,352769793489998,,2.0,,,,,,,,
1857696,1,17,3,31,21832,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,50,50.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478150609489998,352769804489998,,2.0,,,,,,,,
1857696,1,17,3,31,21832,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,5,5.0,,0.0,,0.0,3.0,9.0,,,,,,,,,,,,,,,478150608489998,352769804489998,,2.0,,,,,,,,
1854673,1,17,3,31,23588,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,3,3.0,,0.0,,0.0,2.0,9.0,,,,,,,,,,,,,,,478151268489998,352769827489998,,1.0,,,,,,,,
1852998,4,17,3,43,20016,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,25,25.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478151557489998,352769835489998,,2.0,,,,,,,,
1796363,4,17,3,97,20035,1,S23LCS,2,,16,0.0,20.0,24.0,,,,,,,,1,0,0.0,,0.0,,0.0,5.0,7.0,,,,,,,,,,,,,,,478151611489998,352769837489998,,2.0,,,,,,,,
1796340,4,17,3,97,20080,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,70,70.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478151747489998,352769840489998,,1.0,,,,,,226.7996,,
1852373,4,17,3,31,20023,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,45,45.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478151821489998,352769841489998,,1.0,,,,,,171.9618,,
1852438,4,17,3,31,20171,1,S23LCS,1,,10,1.0,30.0,32.0,21.0,0.0,,509.0,3.0,104.0,1.0,1,52,70.0,,0.0,,0.0,5.0,1.0,1.0,5.0,10.0,,,9999.0,,,,,,,,,479490889489998,352769844489998,,1.0,,5.0,6.0,,,67.4571,,
1796321,4,17,3,97,20053,1,S23LCS,4,,19,0.0,,,,,,,,,,1,0,0.0,,0.0,,0.0,7.0,10.0,,,,,,,,,,,,,,,478151940489998,352769845489998,,2.0,,,,,,,,
1852434,4,17,3,31,20014,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,20,20.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478152161489998,352769851489998,,2.0,,,,,,,,
1853039,5,17,3,43,20034,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,2,7,7.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478152326489998,352769858489998,,1.0,,,,,,,,
1797331,6,17,3,111,20201,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,50,50.0,,0.0,,0.0,3.0,7.0,,,,,,,,,,,,,,,478152413489998,352769861489998,,1.0,,,,,,55.7328,,
1917892,5,18,4,89,20163,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,2.0,9.0,,,,,,,,,,,,,,,478152510489998,352769865489998,,2.0,,,,,,,,
1857047,2,17,3,31,23508,3,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,942082708290487,559740545126144,352769810489998.0,2.0,,,,,,,9.0,0.0
1856965,2,17,3,31,23428,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,40,40.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,942083186290487,559740553126144,352769806489998.0,2.0,,,,,,45.2181,1.0,0.0
