PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,BLDG_INTERACTION_ID,ENERGY_USE,ENERGY_INFLUENCE,ELEC_C_AVOIDED,ELEC_AVOIDED,FUEL_C_AVOIDED,FUEL_AVOIDED,BINTA_CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN
1469516,1,55,5,59,22311,1,1,2,2,HEATING,SHADING,-0.016267686,-0.014646209,-0.357329082,-1741.675353,489743566126144,923463,478152687489998,478152685489998,488921595126144,
1469295,1,55,5,59,22215,1,1,3,1,HEATING,CLIMATE,11.2533649,10.13168873,249.2256188,1214762.915,489743570126144,923464,478152716489998,478152715489998,488921597126144,
1469784,5,55,5,59,20076,1,1,4,1,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,785696389290487,923575,785696356290487,785696352290487,785696372290487,
1469478,1,55,5,59,22292,1,1,1,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785694714290487,923693,785694652290487,785694646290487,785694678290487,
1469478,1,55,5,59,22292,1,1,2,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785694715290487,923693,785694652290487,785694646290487,785694679290487,
1469478,1,55,5,59,22292,1,1,5,1,COOLING,CLIMATE,9.932603128,8.942573545,,,785694718290487,923693,785694652290487,785694646290487,785694682290487,
1469478,1,55,5,59,22292,1,1,7,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785694720290487,923693,785694652290487,785694646290487,785694684290487,
1469478,1,55,5,59,22292,1,1,9,1,HEATING,WINDBREAK,12.08833192,10.88343064,261.1267316,1272770.718,785694724290487,923693,785694652290487,785694646290487,785694686290487,
1467849,1,55,5,59,21553,1,1,3,2,HEATING,CLIMATE,5.155196475,4.641353634,114.1254398,556264.4511,785692940290487,923694,785692881290487,785692876290487,785692901290487,
1469307,1,55,5,59,22221,1,1,35,1,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,942163664290487,924136,942163483290487,942163480290487,942163537290487,
1857035,1,17,3,31,23466,1,1,2,3,COOLING,SHADING,3.286510541,2.958928474,,,785694820290487,352769456489998,785694785290487,785694777290487,785694810290487,
1857035,1,17,3,31,23466,1,1,3,3,COOLING,SHADING,10.84763311,9.766398152,,,785694824290487,352769456489998,785694785290487,785694777290487,785694811290487,
1857855,1,17,3,31,22099,1,1,1,1,HEATING,SHADING,-4.116278965,-3.705989951,-90.41643385,-440703.2123,785694144290487,352769466489998,785694112290487,785694107290487,785694131290487,
1837453,4,17,3,197,20077,1,2,1,2,COOLING,CLIMATE,2.353898082,2.119273915,,,942212219290487,352769475489998,942212200290487,942212197290487,942212215290487,
1852507,4,17,3,31,20070,1,1,1,2,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,942210920290487,352769479489998,942210893290487,942210890290487,942210912290487,
1917860,5,18,4,127,20001,1,1,1,1,HEATING,SHADING,0.0,0.0,0.0,0.0,942231648290487,352769507489998,942231630290487,942231627290487,942231646290487,
1852329,4,17,3,31,20200,1,2,1,3,COOLING,SHADING,36.94639419,33.26377214,,,491758670126144,352769746489998,491758652126144,491758651126144,491758664126144,
1796301,4,17,3,97,20087,1,1,3,1,COOLING,CLIMATE,10.06940678,9.065741329,,,491759441126144,352769767489998,491759370126144,491759369126144,491759385126144,
1796301,4,17,3,97,20087,1,1,8,1,COOLING,SHADING,3.920184131,3.529440818,,,491759446126144,352769767489998,491759370126144,491759369126144,491759390126144,
1837502,5,17,3,197,20155,1,1,1,1,COOLING,CLIMATE,1.754272026,1.579415427,,,489743232126144,352769850489998,478152132489998,478152130489998,488918146126144,
1852999,4,17,3,43,20049,1,1,9,1,COOLING,SHADING,0.0,0.0,,,491759575126144,352769771489998,491759543126144,491759542126144,491759559126144,
1856965,1,17,3,31,23428,1,2,1,2,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,489743149126144,352769806489998,478150662489998,478150661489998,488917962126144,
1796375,4,17,3,97,20011,1,2,21,1,COOLING,SHADING,36.94639419,33.26377214,,,489743218126144,352769839489998,478151657489998,478151656489998,488918031126144,
1796340,4,17,3,97,20080,1,1,9,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,489743224126144,352769840489998,478151750489998,478151747489998,488918050126144,
1857727,1,17,3,31,21962,1,1,2,1,HEATING,CLIMATE,5.467312529,4.922359603,121.067208,590099.6665,785696763290487,352769531489998,785696724290487,785696719290487,785696746290487,
1857355,1,17,3,31,23807,1,2,1,1,COOLING,CLIMATE,4.899890474,4.41149519,,,785697047290487,352769541489998,785697019290487,785697015290487,785697036290487,
1857098,1,17,3,31,23565,1,1,2,1,HEATING,CLIMATE,3.750674233,3.376826774,82.88748321,404005.9816,785693495290487,352769543489998,785693459290487,785693455290487,785693479290487,
1857098,1,17,3,31,23565,1,1,2,1,HEATING,SHADING,-3.034046733,-2.731628929,-66.64458071,-324835.6471,785693495290487,352769543489998,785693459290487,785693455290487,785693479290487,
1857098,1,17,3,31,23565,1,1,4,2,HEATING,CLIMATE,3.750674233,3.376826774,82.88748321,404005.9816,785693500290487,352769543489998,785693459290487,785693455290487,785693481290487,
1857874,1,17,3,31,22134,1,1,2,2,HEATING,CLIMATE,2.914788531,2.624257757,64.64590309,315093.7937,785693626290487,352769604489998,785693596290487,785693591290487,785693613290487,
1857977,1,17,3,31,22301,1,1,2,2,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785695248290487,352769606489998,785695212290487,785695205290487,785695231290487,
1856929,1,17,3,31,23329,1,1,1,3,HEATING,SHADING,-0.244015288,-0.219693129,-5.359936073,-26125.12952,785698817290487,352769611489998,785698791290487,785698785290487,785698807290487,
1852442,4,17,3,31,20004,1,1,6,2,COOLING,SHADING,-2.148046078,-1.933940155,,,785698309290487,352769622489998,785698266290487,785698261290487,785698290290487,
1852442,4,17,3,31,20004,1,2,5,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785698314290487,352769622489998,785698266290487,785698262290487,785698293290487,
1857771,1,17,3,31,22053,1,1,3,3,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,707806191126144,352769673489998,707806159126144,707806153126144,707806179126144,
1852384,4,17,3,31,20155,1,2,1,2,COOLING,SHADING,0.53701152,0.483485039,,,707806891126144,352769684489998,707806863126144,707806857126144,707806880126144,
1854662,1,17,3,31,23221,1,1,2,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,491758019126144,352769725489998,491757995126144,491757993126144,491758010126144,
1854662,1,17,3,31,23221,1,1,3,4,HEATING,CLIMATE,0.989137905,0.890545847,21.82250993,106366.175,491758026126144,352769725489998,491757995126144,491757993126144,491758011126144,
1857693,1,17,3,31,21835,1,2,1,1,HEATING,SHADING,-3.645686885,-3.282304011,-80.07960827,-390319.9795,491758160126144,352769728489998,491758145126144,491758144126144,491758158126144,
1857797,1,17,3,31,22027,1,1,1,2,COOLING,SHADING,0.554911913,0.499601215,,,491758361126144,352769736489998,491758344126144,491758342126144,491758358126144,
1857776,1,17,3,31,22048,1,1,1,2,COOLING,SHADING,9.773610066,8.799428075,,,491758389126144,352769737489998,491758374126144,491758372126144,491758386126144,
1467748,1,55,5,59,21502,1,2,3,3,COOLING,CLIMATE,1.756572508,1.581486609,,,1287172501290487,924142,1287172460290487,1287172456290487,1287172477290487,
1467826,1,55,5,59,21541,1,1,4,2,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,1287177531290487,924143,1287177476290487,1287177472290487,1287177496290487,
1855668,1,17,3,31,22170,1,3,1,1,HEATING,SHADING,-17.05519037,-15.35521879,-374.6270611,-1825988.288,785697442290487,352769404489998,785697423290487,785697416290487,785697440290487,
1856897,1,17,3,31,23307,1,1,2,1,COOLING,CLIMATE,10.14402695,9.132923756,,,785697496290487,352769411489998,785697468290487,785697460290487,785697489290487,
1852362,4,17,3,31,20100,1,1,1,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,1287852862290487,352769416489998,1287852831290487,1287852826290487,1287852846290487,
1852362,4,17,3,31,20100,1,1,3,1,HEATING,CLIMATE,2.510259495,2.260050045,55.63948815,271195.1812,1287852864290487,352769416489998,1287852831290487,1287852826290487,1287852847290487,
1796349,4,17,3,97,20068,1,1,1,2,COOLING,CLIMATE,1.764624192,1.588735744,,,1287852411290487,352769422489998,1287852389290487,1287852383290487,1287852406290487,
1796349,4,17,3,97,20068,1,1,1,2,HEATING,CLIMATE,1.96485032,1.769004385,43.51139738,212081.0541,1287852411290487,352769422489998,1287852389290487,1287852383290487,1287852406290487,
1852408,4,17,3,31,20178,1,1,7,2,COOLING,SHADING,5.853425653,5.269987003,,,1287853480290487,352769427489998,1287853432290487,1287853426290487,1287853450290487,
1853007,4,17,3,43,20022,1,2,1,1,HEATING,WINDBREAK,21.54955262,19.40160668,465.5176224,2269002.468,1287853041290487,352769436489998,1287853018290487,1287853015290487,1287853037290487,
1795928,5,17,3,89,20061,1,1,1,2,COOLING,SHADING,-0.250605386,-0.225626361,,,489743254126144,352769859489998,478152376489998,478152374489998,488918159126144,
1795928,5,17,3,89,20061,1,1,1,2,HEATING,SHADING,-0.019410308,-0.01747559,-0.426358564,-2078.135364,489743254126144,352769859489998,478152376489998,478152374489998,488918159126144,
1857797,2,17,3,31,22027,1,1,1,2,COOLING,SHADING,0.905759448,0.815478115,,,942231298290487,781816999290487,942231274290487,942231268290487,942231293290487,352769736489998.0
1854662,2,17,3,31,23221,1,1,3,2,HEATING,CLIMATE,0.989137905,0.890545847,21.82250993,106366.175,942231574290487,781817055290487,942231533290487,942231527290487,942231556290487,352769725489998.0
1857349,2,17,3,31,23813,1,2,1,3,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,942231953290487,781817061290487,942231929290487,942231924290487,942231946290487,352769753489998.0
1857132,2,17,3,31,23612,1,1,5,2,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,1287852784290487,992948058290487,1287852748290487,1287852742290487,1287852769290487,352769670489998.0
1469919,4,55,5,59,20011,1,1,13,1,HEATING,SHADING,0.0,0.0,0.0,0.0,505940883126144,923671,505940844126144,505940842126144,505940859126144,
1469478,1,55,5,59,22292,1,1,7,2,HEATING,SHADING,0.0,0.0,0.0,0.0,785694721290487,923693,785694652290487,785694646290487,785694684290487,
1469478,1,55,5,59,22292,1,1,7,2,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,785694721290487,923693,785694652290487,785694646290487,785694684290487,
1469478,1,55,5,59,22292,1,1,8,1,HEATING,WINDBREAK,10.44656668,9.405307918,225.681304,1100004.406,785694722290487,923693,785694652290487,785694646290487,785694685290487,
1469478,1,55,5,59,22292,1,1,10,1,COOLING,CLIMATE,9.932603128,8.942573545,,,785694726290487,923693,785694652290487,785694646290487,785694687290487,
1469307,1,55,5,59,22221,1,1,13,1,COOLING,CLIMATE,4.92410571,4.433296779,,,942163639290487,924136,942163483290487,942163480290487,942163515290487,
1469307,1,55,5,59,22221,1,1,25,1,HEATING,CLIMATE,0.345539022,0.311097512,7.623583142,37158.48366,942163654290487,924136,942163483290487,942163480290487,942163527290487,
1469307,1,55,5,59,22221,1,1,33,1,COOLING,SHADING,17.39201367,15.65846932,,,942163662290487,924136,942163483290487,942163480290487,942163535290487,
1857035,1,17,3,31,23466,1,1,3,1,HEATING,SHADING,-12.48729766,-11.24262958,-274.2906719,-1336933.731,785694822290487,352769456489998,785694785290487,785694777290487,785694811290487,
1853001,4,17,3,43,20201,1,2,1,3,COOLING,CLIMATE,2.141186689,1.927764474,,,942212255290487,352769491489998,942212233290487,942212229290487,942212250290487,
1852346,4,17,3,31,20028,1,1,1,1,HEATING,SHADING,-5.483195926,-4.936659826,-120.4415507,-587050.1195,491758902126144,352769755489998,491758888126144,491758886126144,491758900126144,
1852346,4,17,3,31,20028,1,1,1,2,COOLING,SHADING,4.532377341,4.080613832,,,491758903126144,352769755489998,491758888126144,491758886126144,491758900126144,
1852370,5,17,3,31,20112,1,1,1,2,COOLING,SHADING,0.479730291,0.431913302,,,491759343126144,352769766489998,491759306126144,491759305126144,491759323126144,
1852370,5,17,3,31,20112,1,1,10,1,HEATING,CLIMATE,0.304490257,0.274140272,6.717640284,32742.78277,491759356126144,352769766489998,491759306126144,491759305126144,491759330126144,
1796301,4,17,3,97,20087,1,1,1,1,HEATING,SHADING,-0.282096464,-0.253978574,-6.196410998,-30202.23333,491759439126144,352769767489998,491759370126144,491759369126144,491759383126144,
1796301,4,17,3,97,20087,1,1,9,1,COOLING,SHADING,0.0,0.0,,,491759447126144,352769767489998,491759370126144,491759369126144,491759391126144,
1796301,4,17,3,97,20087,1,1,9,1,HEATING,SHADING,0.0,0.0,0.0,0.0,491759447126144,352769767489998,491759370126144,491759369126144,491759391126144,
1796301,4,17,3,97,20087,1,1,13,1,HEATING,SHADING,0.0,0.0,0.0,0.0,491759451126144,352769767489998,491759370126144,491759369126144,491759395126144,
1837533,4,17,3,197,20006,1,1,8,1,HEATING,CLIMATE,1.979388228,1.782093232,43.67269692,212867.2521,489743241126144,352769852489998,478152185489998,478152184489998,488918151126144,
1853039,5,17,3,43,20034,1,1,1,1,HEATING,SHADING,-10.68558974,-9.620506419,-234.7151217,-1144036.584,489743247126144,352769858489998,478152327489998,478152325489998,488918155126144,
1796301,4,17,3,97,20087,11,1,26,1,HEATING,WINDBREAK,0.0,0.0,0.0,0.0,491759462126144,352769767489998,491759371126144,491759369126144,491759405126144,
1852999,4,17,3,43,20049,1,1,2,1,HEATING,CLIMATE,2.510259495,2.260050045,55.63948815,271195.1812,491759569126144,352769771489998,491759543126144,491759542126144,491759553126144,
1853014,4,17,3,43,20006,1,1,4,1,COOLING,CLIMATE,1.764624192,1.588735744,,,491757412126144,352769781489998,491757386126144,491757385126144,491757401126144,
1795853,4,17,3,89,20007,1,1,1,2,HEATING,CLIMATE,1.96485032,1.769004385,43.51139738,212081.0541,491757497126144,352769784489998,491757463126144,491757461126144,491757476126144,
1795853,4,17,3,89,20007,1,1,6,2,COOLING,SHADING,6.809306078,6.130590301,,,491757507126144,352769784489998,491757463126144,491757461126144,491757481126144,
1854651,1,17,3,31,23232,1,2,1,1,COOLING,CLIMATE,4.95134785,4.457823566,,,489743140126144,352769800489998,478150005489998,478150004489998,488917949126144,
1857047,1,17,3,31,23508,1,1,3,1,HEATING,SHADING,-1.371230344,-1.234553323,-30.1198628,-146808.713,489743151126144,352769810489998,478150744489998,478150742489998,488917964126144,
