PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPECIES_SYMBOL_FLD,UNIQUE_SP_NBR,SPECIES_SYMBOL,GROWTH_HABIT,COVER_PCT,IS_MAINTAINED_AREA,CN,INVS_CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1469919,4,55,5,59,20011,1,2,LONIC,1,LONIC,Shrub;Vine,1,0.0,505940898126144,505940892126144,923671,505940844126144,505940843126144,
1467836,1,55,5,59,21546,1,1,LONIC,1,LONIC,Shrub;Vine,10,0.0,707805022126144,707805016126144,923687,707804906126144,707804901126144,
1468024,1,55,5,59,21640,1,2,ALPE4,1,ALPE4,Forb;herb,0,,707805523126144,707805519126144,923691,707805500126144,707805496126144,
1468181,1,55,5,59,21719,1,1,RHCA3,1,RHCA3,Tree; Shrub,1,1.0,785692998290487,785692995290487,923697,785692976290487,785692974290487,
1856933,1,17,3,31,23379,1,2,CIAR4,1,CIAR4,Forb;herb,0,,487678676489998,478151258489998,352769826489998,478151236489998,478151235489998,
1852337,6,17,3,31,20119,1,3,ULPU,1,ULPU,Tree; Shrub,0,,487678685489998,478151392489998,352769830489998,478151333489998,478151332489998,
1852341,4,17,3,31,20182,1,1,AIAL,1,AIAL,Tree,5,1.0,487678686489998,478151427489998,352769831489998,478151403489998,478151402489998,
1852459,5,17,3,31,20051,1,1,LONIC,1,LONIC,Shrub;Vine,1,1.0,487678695489998,478151500489998,352769833489998,478151483489998,478151481489998,
1852402,4,17,3,31,20005,1,1,CIVU,1,CIVU,Forb;herb,1,0.0,487678698489998,478151542489998,352769834489998,478151513489998,478151511489998,
1852402,4,17,3,31,20005,1,2,CIVU,1,CIVU,Forb;herb,0,,487678699489998,478151542489998,352769834489998,478151513489998,478151512489998,
1796340,4,17,3,97,20080,1,3,ALPE4,1,ALPE4,Forb;herb,70,0.0,487678722489998,478151800489998,352769840489998,478151750489998,478151749489998,
1796340,4,17,3,97,20080,1,3,LONIC,1,LONIC,Shrub;Vine,5,0.0,487678728489998,478151802489998,352769840489998,478151750489998,478151749489998,
1852373,4,17,3,31,20023,1,1,LOMA6,1,LOMA6,Shrub,1,0.0,487678733489998,478151867489998,352769841489998,478151822489998,478151821489998,
1852373,4,17,3,31,20023,1,1,LONIC,1,LONIC,Shrub;Vine,3,0.0,487678734489998,478151868489998,352769841489998,478151822489998,478151821489998,
1852438,4,17,3,31,20171,1,1,PHAR3,1,PHAR3,Graminoid,1,0.0,487678740489998,479491253489998,352769844489998,479490890489998,479490889489998,
1853009,4,17,3,43,20202,1,1,ROMU,1,ROMU,Vine; Subshrub,2,0.0,487678749489998,478152096489998,352769848489998,478152041489998,478152040489998,
1837502,5,17,3,197,20155,1,1,ULPU,1,ULPU,Tree; Shrub,1,1.0,487678755489998,478152150489998,352769850489998,478152132489998,478152130489998,
