PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STATUSCD,STANDING_DEAD_CD,TPA_UNADJ,SPCD,SPGRPCD,DIA,DIACHECK,DIAHTCD,CROWN_DIEBACK_CD,CROWN_LIGHT_EXPOSURE,UNCOMP_CROWN_RATIO,CROWN_DIA_WIDE,CROWN_DIA_90,AVG_CROWN_WIDTH,FOLIAGE_ABSENT,IS_MAINTAINED_AREA,IS_RIPARIAN,IS_STREET_TREE,IS_PLANTED,NBR_STEMS,BASAL_AREA,GROSS_CARBON_SEQUESTRATION,ITREE_ECO_VERSION,DRY_TOT_BIOMASS_ITREE,CARBON_STORAGE_ITREE,GROSS_C_SEQUESTRATION_ITREE,LEAF_AREA_ITREE,LEAF_BIOMASS_ITREE,CROWN_GROUND_AREA_ITREE,LEAF_AREA_INDEX_ITREE,LEAF_BIOMASS_INDEX_ITREE,COMPENSATORY_VALUE_ITREE,NO2_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,NO2_ASTHMA_EXACERBATION_INCIDENCE,NO2_EMERGENCY_ROOM_VISITS_INCIDENCE,NO2_HOSPITAL_ADMISSIONS_INCIDENCE,NO2_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,NO2_ASTHMA_EXACERBATION_VALUE,NO2_EMERGENCY_ROOM_VISITS_VALUE,NO2_HOSPITAL_ADMISSIONS_VALUE,SO2_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,SO2_ASTHMA_EXACERBATION_INCIDENCE,SO2_EMERGENCY_ROOM_VISITS_INCIDENCE,SO2_HOSPITAL_ADMISSIONS_INCIDENCE,SO2_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,SO2_ASTHMA_EXACERBATION_VALUE,SO2_EMERGENCY_ROOM_VISITS_VALUE,SO2_HOSPITAL_ADMISSIONS_VALUE,O3_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,O3_EMERGENCY_ROOM_VISITS_INCIDENCE,O3_HOSPITAL_ADMISSIONS_INCIDENCE,O3_MORTALITY_INCIDENCE,O3_SCHOOL_LOSS_DAYS_INCIDENCE,O3_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,O3_EMERGENCY_ROOM_VISITS_VALUE,O3_HOSPITAL_ADMISSIONS_VALUE,O3_MORTALITY_VALUE,O3_SCHOOL_LOSS_DAYS_VALUE,PM2_5_ACUTE_BRONCHITIS_INCIDENCE,PM2_5_ACUTE_MYOCARDIAL_INFARCTION_INCIDENCE,PM2_5_ACUTE_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_ASTHMA_EXACERBATION_INCIDENCE,PM2_5_CHRONIC_BRONCHITIS_INCIDENCE,PM2_5_EMERGENCY_ROOM_VISITS_INCIDENCE,PM2_5_HOSPITAL_ADMISSIONS_CARDIOVASCULAR_INCIDENCE,PM2_5_HOSPITAL_ADMISSIONS_RESPIRATORY_INCIDENCE,PM2_5_LOWER_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_MORTALITY_INCIDENCE,PM2_5_UPPER_RESPIRATORY_SYMPTOMS_INCIDENCE,PM2_5_WORK_LOSS_DAYS_INCIDENCE,PM2_5_ACUTE_BRONCHITIS_VALUE,PM2_5_ACUTE_MYOCARDIAL_INFARCTION_VALUE,PM2_5_ACUTE_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_ASTHMA_EXACERBATION_VALUE,PM2_5_CHRONIC_BRONCHITIS_VALUE,PM2_5_EMERGENCY_ROOM_VISITS_VALUE,PM2_5_HOSPITAL_ADMISSIONS_CARDIOVASCULAR_VALUE,PM2_5_HOSPITAL_ADMISSIONS_RESPIRATORY_VALUE,PM2_5_LOWER_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_MORTALITY_VALUE,PM2_5_UPPER_RESPIRATORY_SYMPTOMS_VALUE,PM2_5_WORK_LOSS_DAYS_VALUE,CO_VALUE,O3_VALUE,PM10_VALUE,NO2_VALUE,PM2_5_VALUE,SO2_VALUE,CO_REMOVAL,O3_REMOVAL,PM10_REMOVAL,NO2_REMOVAL,PM2_5_REMOVAL,SO2_REMOVAL,AVOIDED_RUNOFF,RAINFALL_INTERCEPTION,EVAPORATION,TRANSPIRATION,POTENTIAL_EVAPORATION,POTENTIAL_EVAPOTRANSPIRATION,ISOPRENE_EMITTED,MONOTERPENE_EMITTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN,PREV_MTRE_CN
1852335,4,17,3,31,20130,1,2,1,1,,6.0180462857,320,31,18.9,0.0,1,5.0,4.0,80.0,43.0,38.0,39.0,5.0,1,0,1,1,1,1.94822334,29.980742,6.0.35,2667.1220395528,1333.5610199969,65.9860033139,6374.6340905529,70.4716344545,1194.5906065076,5.336249972,0.288025583,2345.009796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785697730290487,352769609489998,785697715290487,785697709290487,,
1856929,1,17,3,31,23329,1,1,3,1,,6.0180462857,91,9,19.7,0.0,1,0.0,4.0,80.0,34.0,29.0,31.0,10.0,1,0,1,1,1,2.11664286,40.603002,6.0.35,2706.3460392863,1353.1730198636,30.371700763,11634.3141946701,397.1492278408,754.7676350526,15.41443175,2.569071958,2876.787908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785698809290487,352769611489998,785698791290487,785698785290487,,
1854669,1,17,3,31,23592,1,1,4,1,,6.0180462857,975,41,9.7,0.0,1,0.0,1.0,82.0,42.0,39.0,22.0,0.0,1,0,1,1,1,0.51316686,6.321911,6.0.35,556.5051012653,278.2525506326,13.0080579839,2399.5633598212,22.0024763269,380.1327110501,6.312435867,0.282599985,331.4216309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785693666290487,352769614489998,785693645290487,785693638290487,,
1854669,1,17,3,31,23592,1,1,3,1,,6.0180462857,317,32,33.2,0.0,1,15.0,4.0,50.0,60.0,42.0,55.0,15.0,1,0,1,1,1,6.01161696,110.975626,6.0.35,7737.6936719637,3868.8468370841,85.1137668387,7636.2614000575,82.3216806976,2375.8294443325,3.214145451,0.169174454,4961.894836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785693665290487,352769614489998,785693645290487,785693638290487,,
1852364,4,17,3,31,20006,1,2,12,1,,6.0180462857,681,42,8.0,0.0,1,0.0,1.0,75.0,21.0,16.0,25.0,5.0,0,0,0,2,1,0.349056,6.84729,6.0.35,543.0634287345,271.5317144775,11.889647026,3279.2044200061,49.1319680708,490.8738521366,6.680340388,0.488686203,128.352576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785695353290487,352769620489998,785695318290487,785695314290487,,
1852364,4,17,3,31,20006,1,2,10,1,,6.0180462857,681,42,9.6,0.0,1,0.0,2.0,75.0,23.0,19.0,28.0,5.0,0,0,0,2,1,0.50264064,10.628607,6.0.35,843.6769853514,421.8384925655,19.5577441768,3947.4434453383,59.1441216923,615.7521601015,6.410766703,0.468966108,188.5471668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785695351290487,352769620489998,785695318290487,785695314290487,,
1852442,4,17,3,31,20004,1,2,9,1,,6.0180462857,317,32,22.6,0.0,1,0.0,5.0,80.0,58.0,48.0,44.0,5.0,1,0,1,1,1,2.78568504,72.012782,6.0.35,3249.8732485293,1624.9366240442,60.7952135306,8443.7640791948,91.0268538468,1520.5308448464,5.55316856,0.292287413,2778.341861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785698296290487,352769622489998,785698266290487,785698262290487,,
1852426,4,17,3,31,20011,1,1,14,1,,6.0180462857,317,32,8.8,0.0,1,0.0,1.0,60.0,29.0,27.0,27.0,0.0,0,0,0,2,1,0.42235776,10.029282,6.0.35,809.7773163601,404.8886580698,15.6707051289,4168.8388980597,44.941602523,572.5552611626,7.281111852,0.383236584,143.3578698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785696083290487,352769627489998,785696048290487,785696041290487,,
1837451,4,17,3,197,20160,1,2,11,1,,6.0180462857,681,42,8.3,0.0,1,5.0,2.0,70.0,25.0,22.0,27.0,3.0,0,0,0,2,1,0.37572606,9.694815,6.0.35,593.5845880741,296.7922941473,15.1395266724,3512.4332056303,52.6264099416,572.5552611626,6.134662354,0.448768278,131.8651309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785696214290487,352769637489998,785696187290487,785696182290487,,
1837451,4,17,3,197,20160,1,1,10,1,,6.0180462857,320,31,6.7,0.0,1,0.0,3.0,55.0,18.0,17.0,24.0,0.0,0,0,0,2,1,0.24483006,5.716381,6.0.35,353.1280376255,176.5640188348,13.8620120726,2328.8358647898,25.7453004115,452.3893421572,5.147857493,0.277857046,268.1302414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785696210290487,352769637489998,785696187290487,785696181290487,,
