PLT_CN,INV_CN
923675,810170788290487
923692,810170895290487
923693,810170895290487
923694,810170895290487
352769392489998,810170895290487
352769400489998,810170895290487
352769404489998,810170895290487
352769444489998,810171142290487
352769453489998,810170895290487
352769456489998,810170895290487
352769457489998,810170895290487
352769460489998,810170895290487
352769468489998,810170895290487
352769473489998,810171049290487
352769490489998,810171049290487
352769491489998,810171049290487
352769492489998,810171049290487
352769498489998,810171049290487
352769502489998,810171049290487
352769503489998,810171049290487
352769540489998,810170895290487
352769547489998,810170896290487
352769548489998,810170896290487
352769569489998,810170896290487
352769576489998,810170896290487
352769588489998,810170895290487
352769603489998,810170895290487
352769611489998,810170895290487
352769616489998,810170895290487
352769619489998,810170895290487
352769632489998,810170895290487
352769633489998,810170895290487
352769654489998,810170895290487
352769663489998,810170951290487
352769668489998,810170951290487
352769669489998,810170951290487
352769694489998,810170951290487
352769695489998,810170951290487
352769697489998,810170951290487
352769703489998,810170951290487
352769751489998,810170788290487
352769754489998,810170788290487
352769762489998,810170788290487
352769779489998,810170788290487
352769785489998,810170788290487
352769786489998,810170788290487
352769795489998,810170788290487
352769802489998,810171091290487
352769808489998,810171091290487
352769820489998,810171091290487
352769838489998,810171091290487
352769839489998,810171091290487
352769867489998,810171091290487
559740535126144,810170847290487
559740553126144,810170847290487
559740559126144,810170847290487
559740561126144,810170847290487
781816981290487,810170903290487
781816984290487,810170903290487
781817011290487,810170903290487
781817040290487,810170903290487
781817043290487,810170903290487
781817052290487,810170903290487
992948028290487,810170959290487
992948037290487,810170959290487
992948055290487,810170959290487
992948061290487,810170959290487
992948064290487,810170959290487
923673,810170788290487
923676,810170788290487
923687,810170951290487
352769401489998,810170895290487
352769408489998,810171142290487
352769413489998,810171142290487
352769419489998,810171142290487
352769425489998,810171142290487
352769427489998,810171142290487
352769428489998,810171142290487
352769439489998,810171142290487
352769441489998,810171142290487
352769445489998,810171142290487
352769472489998,810171049290487
352769475489998,810171049290487
352769480489998,810171049290487
352769495489998,810171049290487
352769507489998,810171049290487
352769509489998,810171049290487
352769521489998,810170895290487
352769523489998,810170895290487
352769527489998,810170895290487
352769536489998,810170895290487
352769542489998,810170895290487
352769574489998,810170896290487
352769581489998,810170896290487
352769587489998,810170895290487
352769590489998,810170895290487
352769599489998,810170895290487
352769624489998,810170895290487
352769625489998,810170895290487
352769643489998,810170895290487
352769644489998,810170895290487
352769646489998,810170895290487
352769647489998,810170895290487
352769651489998,810170895290487
352769656489998,810170895290487
352769665489998,810170951290487
352769687489998,810170951290487
352769690489998,810170951290487
352769696489998,810170951290487
352769740489998,810170788290487
352769741489998,810170788290487
352769742489998,810170788290487
352769765489998,810170788290487
352769773489998,810170788290487
352769775489998,810170788290487
352769784489998,810170788290487
352769789489998,810170788290487
352769790489998,810170788290487
352769791489998,810170788290487
352769809489998,810171091290487
352769816489998,810171091290487
352769829489998,810171091290487
352769835489998,810171091290487
352769836489998,810171091290487
352769852489998,810171091290487
352769864489998,810171091290487
559740551126144,810170847290487
559740557126144,810170847290487
559740567126144,810170847290487
559740577126144,810170847290487
559740579126144,810170847290487
559740585126144,810170847290487
781816993290487,810170903290487
781816996290487,810170903290487
781817002290487,810170903290487
992948019290487,810170959290487
992948031290487,810170959290487
992948034290487,810170959290487
923417,810171091290487
923464,810171091290487
923672,810170788290487
923690,810170951290487
924144,810171142290487
352769391489998,810170895290487
352769405489998,810170895290487
352769414489998,810171142290487
352769415489998,810171142290487
352769430489998,810171142290487
352769436489998,810171142290487
352769437489998,810171142290487
352769443489998,810171142290487
352769450489998,810171049290487
352769452489998,810170895290487
352769463489998,810170895290487
352769469489998,810170895290487
352769488489998,810171049290487
352769489489998,810171049290487
352769501489998,810171049290487
352769520489998,810170895290487
352769524489998,810170895290487
352769543489998,810170895290487
352769549489998,810170896290487
352769552489998,810170896290487
352769555489998,810170896290487
352769558489998,810170896290487
352769586489998,810170895290487
352769594489998,810170895290487
352769620489998,810170895290487
352769630489998,810170895290487
352769634489998,810170895290487
352769640489998,810170895290487
352769641489998,810170895290487
352769649489998,810170895290487
352769662489998,810170951290487
352769671489998,810170951290487
352769682489998,810170951290487
352769686489998,810170951290487
352769707489998,810170951290487
352769710489998,810170951290487
352769724489998,810170788290487
352769735489998,810170788290487
352769745489998,810170788290487
352769747489998,810170788290487
352769749489998,810170788290487
352769752489998,810170788290487
352769761489998,810170788290487
352769767489998,810170788290487
352769768489998,810170788290487
352769783489998,810170788290487
352769800489998,810171091290487
352769811489998,810171091290487
352769813489998,810171091290487
352769814489998,810171091290487
352769824489998,810171091290487
352769826489998,810171091290487
352769849489998,810171091290487
352769856489998,810171091290487
352769861489998,810171091290487
559740565126144,810170847290487
559740581126144,810170847290487
559740583126144,810170847290487
781817014290487,810170903290487
781817028290487,810170903290487
781817034290487,810170903290487
781817061290487,810170903290487
992948016290487,810170959290487
992948040290487,810170959290487
992948067290487,810170959290487
923463,810171091290487
923571,810170951290487
923671,810170788290487
923689,810170951290487
923696,810170895290487
923698,810170895290487
923699,810170895290487
924135,810171049290487
924143,810171142290487
352769406489998,810170895290487
352769411489998,810170895290487
352769412489998,810170895290487
352769424489998,810171142290487
352769435489998,810171142290487
352769438489998,810171142290487
352769455489998,810170895290487
352769465489998,810170895290487
352769474489998,810171049290487
352769479489998,810171049290487
352769482489998,810171049290487
352769497489998,810171049290487
352769499489998,810171049290487
352769514489998,810170895290487
352769515489998,810170895290487
352769518489998,810170895290487
352769519489998,810170895290487
352769530489998,810170895290487
352769538489998,810170895290487
352769551489998,810170896290487
352769560489998,810170896290487
352769566489998,810170896290487
352769572489998,810170896290487
352769575489998,810170896290487
352769580489998,810170896290487
352769601489998,810170895290487
352769602489998,810170895290487
352769648489998,810170895290487
352769650489998,810170895290487
352769667489998,810170951290487
352769670489998,810170951290487
352769672489998,810170951290487
352769681489998,810170951290487
352769684489998,810170951290487
352769692489998,810170951290487
352769693489998,810170951290487
352769716489998,810170951290487
352769725489998,810170788290487
352769728489998,810170788290487
352769729489998,810170788290487
352769739489998,810170788290487
352769743489998,810170788290487
352769760489998,810170788290487
352769770489998,810170788290487
352769774489998,810170788290487
352769777489998,810170788290487
352769778489998,810170788290487
352769822489998,810171091290487
352769823489998,810171091290487
352769827489998,810171091290487
352769837489998,810171091290487
352769846489998,810171091290487
352769847489998,810171091290487
352769850489998,810171091290487
352769859489998,810171091290487
559740543126144,810170847290487
781817023290487,810170903290487
992948013290487,810170959290487
992948052290487,810170959290487
992948070290487,810170959290487
923565,810170788290487
923677,810170788290487
923688,810170951290487
924013,810170896290487
924125,810170896290487
924132,810170896290487
924136,810171049290487
924140,810171142290487
352769387489998,810170895290487
352769389489998,810170895290487
352769390489998,810170895290487
352769409489998,810170895290487
352769418489998,810171142290487
352769421489998,810171142290487
352769431489998,810171142290487
352769432489998,810171142290487
352769433489998,810171142290487
352769440489998,810171142290487
352769454489998,810170895290487
352769458489998,810171049290487
352769461489998,810171049290487
352769466489998,810170895290487
352769471489998,810170895290487
352769494489998,810171049290487
352769500489998,810171049290487
352769506489998,810171049290487
352769534489998,810170895290487
352769544489998,810170896290487
352769553489998,810170896290487
352769554489998,810170896290487
352769567489998,810170896290487
352769568489998,810170896290487
352769573489998,810170896290487
352769578489998,810170896290487
352769605489998,810170895290487
352769607489998,810170895290487
352769608489998,810170895290487
352769609489998,810170895290487
352769613489998,810170895290487
352769615489998,810170895290487
352769636489998,810170895290487
352769653489998,810170895290487
352769673489998,810170951290487
352769685489998,810170951290487
352769688489998,810170951290487
352769689489998,810170951290487
352769701489998,810170951290487
352769706489998,810170951290487
352769709489998,810170951290487
352769711489998,810170951290487
352769723489998,810170788290487
352769726489998,810170788290487
352769734489998,810170788290487
352769744489998,810170788290487
352769748489998,810170788290487
352769753489998,810170788290487
352769755489998,810170788290487
352769756489998,810170788290487
352769757489998,810170788290487
352769766489998,810170788290487
352769769489998,810170788290487
352769780489998,810170788290487
352769807489998,810171091290487
352769815489998,810171091290487
352769818489998,810171091290487
352769828489998,810171091290487
352769840489998,810171091290487
352769842489998,810171091290487
352769845489998,810171091290487
352769851489998,810171091290487
352769853489998,810171091290487
352769865489998,810171091290487
352769869489998,810171091290487
559740537126144,810170847290487
559740545126144,810170847290487
781816990290487,810170903290487
781817020290487,810170903290487
781817037290487,810170903290487
992948007290487,810170959290487
992948073290487,810170959290487
923462,810171091290487
923674,810170788290487
923686,810170951290487
924030,810171142290487
924142,810171142290487
352769398489998,810170895290487
352769416489998,810171142290487
352769420489998,810171142290487
352769422489998,810171142290487
352769426489998,810171142290487
352769451489998,810170895290487
352769462489998,810170895290487
352769470489998,810170895290487
352769477489998,810171049290487
352769481489998,810171049290487
352769493489998,810171049290487
352769510489998,810171049290487
352769517489998,810170896290487
352769525489998,810170895290487
352769528489998,810170895290487
352769529489998,810170895290487
352769533489998,810170896290487
352769535489998,810170895290487
352769562489998,810170896290487
352769563489998,810170896290487
352769570489998,810170896290487
352769585489998,810170895290487
352769592489998,810170895290487
352769593489998,810170895290487
352769597489998,810170895290487
352769614489998,810170895290487
352769626489998,810170895290487
352769628489998,810170895290487
352769631489998,810170895290487
352769639489998,810170895290487
352769645489998,810170895290487
352769652489998,810170895290487
352769655489998,810170895290487
352769657489998,810170895290487
352769664489998,810170951290487
352769675489998,810170951290487
352769676489998,810170951290487
352769680489998,810170951290487
352769699489998,810170951290487
352769704489998,810170951290487
352769705489998,810170951290487
352769708489998,810170951290487
352769712489998,810170951290487
352769713489998,810170951290487
352769714489998,810170951290487
352769717489998,810170951290487
352769722489998,810170788290487
352769733489998,810170788290487
352769738489998,810170788290487
352769758489998,810170788290487
352769781489998,810170788290487
352769787489998,810170788290487
352769788489998,810170788290487
352769792489998,810170788290487
352769793489998,810170788290487
352769801489998,810171091290487
352769805489998,810171091290487
352769810489998,810171091290487
352769819489998,810171091290487
352769821489998,810171091290487
352769831489998,810171091290487
352769832489998,810171091290487
352769841489998,810171091290487
352769843489998,810171091290487
352769854489998,810171091290487
559740563126144,810170847290487
559740569126144,810170847290487
559740571126144,810170847290487
559740573126144,810170847290487
559740575126144,810170847290487
781817031290487,810170903290487
781817055290487,810170903290487
781817058290487,810170903290487
992948010290487,810170959290487
992948022290487,810170959290487
992948025290487,810170959290487
992948046290487,810170959290487
923576,810170895290487
923691,810170951290487
924131,810170896290487
924134,810171049290487
352769394489998,810170895290487
352769397489998,810170895290487
352769399489998,810170895290487
352769402489998,810170895290487
352769410489998,810170895290487
352769423489998,810171142290487
352769442489998,810171142290487
352769459489998,810170895290487
352769464489998,810170895290487
352769467489998,810170895290487
352769476489998,810171049290487
352769483489998,810171049290487
352769484489998,810171049290487
352769485489998,810171049290487
352769486489998,810171049290487
352769487489998,810171049290487
352769504489998,810171049290487
352769531489998,810170895290487
352769545489998,810170896290487
352769546489998,810170896290487
352769556489998,810170896290487
352769557489998,810170896290487
352769561489998,810170896290487
352769565489998,810170896290487
352769571489998,810170896290487
352769595489998,810170895290487
352769598489998,810170895290487
352769610489998,810170895290487
352769622489998,810170895290487
352769629489998,810170895290487
352769635489998,810170895290487
352769638489998,810170895290487
352769642489998,810170895290487
352769674489998,810170951290487
352769683489998,810170951290487
352769700489998,810170951290487
352769702489998,810170951290487
352769721489998,810170788290487
352769731489998,810170788290487
