CN,PLT_CN,PSS_CN
826503055290487,352769685489998,826498668290487
826503007290487,352769729489998,826498668290487
826503021290487,352769743489998,826498668290487
826503022290487,352769744489998,826498668290487
826503033290487,352769663489998,826498668290487
826503046290487,352769676489998,826498668290487
826503026290487,352769748489998,826498668290487
826502970290487,352769800489998,826498668290487
826502975290487,352769805489998,826498668290487
826502976290487,352769806489998,826498668290487
826503118290487,352769534489998,826498668290487
826503133290487,352769590489998,826498668290487
826503140290487,352769597489998,826498668290487
826503067290487,352769397489998,826498668290487
826503086290487,352769455489998,826498668290487
826503091290487,352769462489998,826498668290487
826503092290487,352769463489998,826498668290487
826503093290487,352769464489998,826498668290487
826503096290487,352769467489998,826498668290487
826503011290487,352769733489998,826498668290487
826502972290487,352769802489998,826498668290487
826503016290487,352769738489998,826498668290487
826503137290487,352769594489998,826498668290487
826503065290487,352769394489998,826498668290487
826502990290487,352769820489998,826498668290487
826503098290487,352769469489998,826498668290487
826503246290487,352769685489998,826498669290487
826503196290487,352769727489998,826498669290487
826503197290487,352769728489998,826498669290487
826503198290487,352769729489998,826498669290487
826503208290487,352769739489998,826498669290487
826503227290487,352769666489998,826498669290487
826503218290487,352769749489998,826498669290487
826503220290487,352769751489998,826498669290487
826503175290487,352769814489998,826498669290487
826503297290487,352769523489998,826498669290487
826503298290487,352769524489998,826498669290487
826503319290487,352769587489998,826498669290487
826503328290487,352769597489998,826498669290487
826503261290487,352769400489998,826498669290487
826503267290487,352769406489998,826498669290487
826503272290487,352769412489998,826498669290487
826503281290487,352769460489998,826498669290487
826503180290487,352769819489998,826498669290487
826503311290487,352769538489998,826498669290487
826503247290487,352769686489998,826498669290487
826503248290487,352769687489998,826498669290487
826503190290487,352769721489998,826498669290487
826503435290487,352769732489998,826498670290487
826503458290487,352769664489998,826498670290487
826503461290487,352769667489998,826498670290487
826503462290487,352769669489998,826498670290487
826503448290487,352769745489998,826498670290487
826503454290487,352769751489998,826498670290487
826503398290487,352769800489998,826498670290487
826503511290487,352769515489998,826498670290487
826503539290487,352769593489998,826498670290487
826503544290487,352769601489998,826498670290487
826503482290487,352769398489998,826498670290487
826503490290487,352769409489998,826498670290487
826503491290487,352769410489998,826498670290487
826503502290487,352769462489998,826498670290487
826503406290487,352769809489998,826498670290487
826503471290487,352769684489998,826498670290487
826503505290487,352769465489998,826498670290487
826503473290487,352769686489998,826498670290487
826503441290487,352769738489998,826498670290487
826503515290487,352769522489998,826498670290487
826503438290487,352769735489998,826498670290487
826503407290487,352769811489998,826498670290487
826503883290487,352769685489998,826498671290487
826503833290487,352769727489998,826498671290487
826503834290487,352769728489998,826498671290487
826503836290487,352769730489998,826498671290487
826503843290487,352769737489998,826498671290487
826503861290487,352769663489998,826498671290487
826503853290487,352769747489998,826498671290487
826503801290487,352769803489998,826498671290487
826503815290487,352769817489998,826498671290487
826503943290487,352769530489998,826498671290487
826503946290487,352769534489998,826498671290487
826503960290487,352769589489998,826498671290487
826503967290487,352769597489998,826498671290487
826503969290487,352769600489998,826498671290487
826503971290487,352769602489998,826498671290487
826503918290487,352769457489998,826498671290487
826503921290487,352769462489998,826498671290487
826503926290487,352769468489998,826498671290487
826503929290487,352769471489998,826498671290487
826503924290487,352769465489998,826498671290487
826503817290487,352769819489998,826498671290487
826503869290487,352769671489998,826498671290487
826503844290487,352769738489998,826498671290487
826503821290487,352769823489998,826498671290487
826503829290487,352769723489998,826498671290487
826503826290487,352769828489998,826498671290487
1268196602290487,352769683489998,1268180335290487
1268196585290487,352769670489998,1268180335290487
1268196518290487,352769515489998,1268180335290487
1268196646290487,352769520489998,1268180335290487
1268196643290487,352769523489998,1268180335290487
1268196576290487,352769537489998,1268180335290487
1268196493290487,352769588489998,1268180335290487
1268196624290487,352769614489998,1268180335290487
1268196580290487,352769412489998,1268180335290487
1268196640290487,352769452489998,1268180335290487
1268196566290487,559740535126144,1268180335290487
1268196564290487,559740581126144,1268180335290487
1268196590290487,559740585126144,1268180335290487
1268196665290487,352769585489998,1268180335290487
1268196517290487,352769465489998,1268180335290487
1268196636290487,559740587126144,1268180335290487
1268196484290487,781817011290487,1268180335290487
1268196586290487,781817020290487,1268180335290487
1268196565290487,559740567126144,1268180335290487
1268196610290487,781817017290487,1268180335290487
1268196577290487,352769456489998,1268180335290487
1268196637290487,559740561126144,1268180335290487
1268196720290487,352769664489998,1268180336290487
1268196693290487,352769672489998,1268180336290487
1268196697290487,352769675489998,1268180336290487
1268196789290487,352769521489998,1268180336290487
1268196832290487,352769523489998,1268180336290487
1268196807290487,352769525489998,1268180336290487
1268196838290487,352769526489998,1268180336290487
1268196760290487,352769528489998,1268180336290487
1268196784290487,352769534489998,1268180336290487
1268196837290487,352769592489998,1268180336290487
1268196864290487,352769597489998,1268180336290487
1268196763290487,352769606489998,1268180336290487
1268196767290487,352769611489998,1268180336290487
1268196743290487,352769612489998,1268180336290487
1268196859290487,352769388489998,1268180336290487
1268196833290487,352769406489998,1268180336290487
1268196804290487,559740543126144,1268180336290487
1268196708290487,559740563126144,1268180336290487
1268196752290487,781817025290487,1268180336290487
1268196799290487,781817034290487,1268180336290487
1268196846290487,781817046290487,1268180336290487
1268196848290487,781817061290487,1268180336290487
1268196817290487,352769733489998,1268180336290487
1268196696290487,352769671489998,1268180336290487
1268196793290487,352769665489998,1268180336290487
1268196963290487,352769731489998,1268180337290487
1268196881290487,352769675489998,1268180337290487
1268196877290487,352769542489998,1268180337290487
1268196940290487,352769586489998,1268180337290487
1268197020290487,352769597489998,1268180337290487
1268196957290487,352769401489998,1268180337290487
1268196989290487,352769452489998,1268180337290487
1268196958290487,352769471489998,1268180337290487
1268196931290487,559740541126144,1268180337290487
1268196889290487,559740545126144,1268180337290487
1268196974290487,352769519489998,1268180337290487
1268197007290487,781817023290487,1268180337290487
1268196978290487,352769686489998,1268180337290487
1268196890290487,352769516489998,1268180337290487
1268196937290487,352769604489998,1268180337290487
1268196907290487,781817005290487,1268180337290487
1268197118290487,352769674489998,1268180338290487
1268197182290487,352769526489998,1268180338290487
1268197147290487,352769533489998,1268180338290487
1268197199290487,352769587489998,1268180338290487
1268197090290487,352769400489998,1268180338290487
1268197177290487,352769406489998,1268180338290487
1268197180290487,352769468489998,1268180338290487
1268197102290487,559740535126144,1268180338290487
1268197196290487,559740539126144,1268180338290487
1268197026290487,559740551126144,1268180338290487
1268197098290487,559740553126144,1268180338290487
1268197052290487,559740563126144,1268180338290487
1268197073290487,559740583126144,1268180338290487
1268197049290487,559740545126144,1268180338290487
1268197155290487,352769519489998,1268180338290487
1268197022290487,781816987290487,1268180338290487
1268197165290487,781817002290487,1268180338290487
1268197141290487,781817037290487,1268180338290487
1268197050290487,352769516489998,1268180338290487
1268197139290487,352769688489998,1268180338290487
1268197069290487,352769461489998,1268180338290487
1268197137290487,352769665489998,1268180338290487
1490993758290487,352769528489998,1490993139290487
1490993730290487,352769600489998,1490993139290487
1490993834290487,352769607489998,1490993139290487
1490993810290487,352769610489998,1490993139290487
1490993704290487,352769391489998,1490993139290487
1490993787290487,352769399489998,1490993139290487
1490993850290487,352769450489998,1490993139290487
1490993825290487,559740573126144,1490993139290487
1490993674290487,781817014290487,1490993139290487
1490993691290487,781817055290487,1490993139290487
1490993815290487,352769733489998,1490993139290487
1490993795290487,992948007290487,1490993139290487
1490993720290487,992948055290487,1490993139290487
1490993797290487,781817043290487,1490993139290487
1490993739290487,352769469489998,1490993139290487
1490994373290487,352769815489998,1490993140290487
1490994297290487,352769518489998,1490993140290487
1490994302290487,352769524489998,1490993140290487
1490994388290487,352769531489998,1490993140290487
1490994371290487,352769541489998,1490993140290487
1490994242290487,352769589489998,1490993140290487
1490994294290487,352769605489998,1490993140290487
1490994344290487,352769387489998,1490993140290487
1490994345290487,352769399489998,1490993140290487
1490994303290487,352769400489998,1490993140290487
1490994387290487,352769452489998,1490993140290487
1490994296290487,352769455489998,1490993140290487
1490994397290487,352769460489998,1490993140290487
1490994261290487,559740545126144,1490993140290487
1490994292290487,352769405489998,1490993140290487
1490994267290487,352769465489998,1490993140290487
1490994407290487,781816993290487,1490993140290487
1490994356290487,781817034290487,1490993140290487
1490994404290487,781817040290487,1490993140290487
1490994403290487,781817046290487,1490993140290487
1490994262290487,352769516489998,1490993140290487
1490994233290487,992948022290487,1490993140290487
1490994334290487,992948037290487,1490993140290487
1490994270290487,352769613489998,1490993140290487
1490994289290487,352769394489998,1490993140290487
1490994273290487,352769543489998,1490993140290487
1490994420290487,352769591489998,1490993140290487
1490994274290487,352769687489998,1490993140290487
1490994234290487,992948058290487,1490993140290487
1490994480290487,352769518489998,1490993141290487
1490994560290487,352769520489998,1490993141290487
1490994563290487,352769526489998,1490993141290487
1490994461290487,352769539489998,1490993141290487
1490994436290487,352769589489998,1490993141290487
1490994553290487,352769596489998,1490993141290487
1490994500290487,352769601489998,1490993141290487
1490994525290487,352769396489998,1490993141290487
1490994526290487,352769408489998,1490993141290487
1490994581290487,352769410489998,1490993141290487
1490994510290487,352769412489998,1490993141290487
1490994499290487,559740535126144,1490993141290487
1490994515290487,559740559126144,1490993141290487
1490994517290487,559740585126144,1490993141290487
1490994576290487,352769585489998,1490993141290487
1490994509290487,352769615489998,1490993141290487
1490994552290487,559740587126144,1490993141290487
1490994450290487,781816990290487,1490993141290487
1490994447290487,781817028290487,1490993141290487
1490994543290487,352769733489998,1490993141290487
1490994460290487,352769613489998,1490993141290487
1490994487290487,352769522489998,1490993141290487
1490994717290487,352769533489998,1490993142290487
1490994699290487,352769534489998,1490993142290487
1490994681290487,352769586489998,1490993142290487
1490994629290487,352769593489998,1490993142290487
1490994768290487,352769595489998,1490993142290487
1490994773290487,352769388489998,1490993142290487
1490994648290487,352769409489998,1490993142290487
1490994774290487,352769453489998,1490993142290487
1490994655290487,352769454489998,1490993142290487
1490994726290487,352769457489998,1490993142290487
1490994601290487,352769470489998,1490993142290487
1490994670290487,559740541126144,1490993142290487
1490994718290487,559740543126144,1490993142290487
1490994738290487,559740577126144,1490993142290487
1490994643290487,559740583126144,1490993142290487
1490994697290487,559740585126144,1490993142290487
1490994750290487,352769538489998,1490993142290487
1490994736290487,781817002290487,1490993142290487
1490994693290487,781817020290487,1490993142290487
1490994765290487,781817023290487,1490993142290487
1490994667290487,781817025290487,1490993142290487
1490994711290487,781817037290487,1490993142290487
1490994760290487,781817046290487,1490993142290487
1490994677290487,352769604489998,1490993142290487
1490994627290487,352769613489998,1490993142290487
1490994604290487,352769403489998,1490993142290487
1490994609290487,992948031290487,1490993142290487
1490994630290487,352769543489998,1490993142290487
1490994777290487,352769591489998,1490993142290487
1490994741290487,559740561126144,1490993142290487
826503005290487,352769727489998,826498668290487
826503014290487,352769736489998,826498668290487
826503042290487,352769672489998,826498668290487
826503045290487,352769675489998,826498668290487
826503025290487,352769747489998,826498668290487
826502992290487,352769822489998,826498668290487
826502996290487,352769826489998,826498668290487
826503105290487,352769520489998,826498668290487
826503115290487,352769530489998,826498668290487
826503131290487,352769588489998,826498668290487
826503149290487,352769606489998,826498668290487
826503070290487,352769400489998,826498668290487
826503081290487,352769412489998,826498668290487
826502979290487,352769809489998,826498668290487
826503089290487,352769459489998,826498668290487
826503035290487,352769665489998,826498668290487
826503211290487,352769742489998,826498669290487
826503233290487,352769672489998,826498669290487
826503237290487,352769676489998,826498669290487
826503221290487,352769752489998,826498669290487
826503161290487,352769800489998,826498669290487
826503162290487,352769801489998,826498669290487
826503166290487,352769805489998,826498669290487
826503186290487,352769825489998,826498669290487
826503303290487,352769529489998,826498669290487
826503308290487,352769535489998,826498669290487
826503331290487,352769601489998,826498669290487
