CN,PLT_CN,PSC_CN
826523214290487,352769405489998,826523211290487
826523220290487,352769526489998,826523211290487
826523231290487,352769662489998,826523211290487
826523232290487,352769672489998,826523211290487
826523237290487,352769679489998,826523211290487
826523250290487,352769800489998,826523211290487
826523251290487,352769815489998,826523211290487
826523339290487,352769468489998,826523320290487
826523345290487,352769522489998,826523320290487
826523352290487,352769535489998,826523320290487
826523363290487,352769602489998,826523320290487
826523374290487,352769669489998,826523320290487
826523377290487,352769678489998,826523320290487
826523379290487,352769684489998,826523320290487
826523380290487,352769688489998,826523320290487
826523396290487,352769753489998,826523320290487
826523397290487,352769802489998,826523320290487
826523268290487,352769457489998,826523257290487
826523269290487,352769460489998,826523257290487
826523276290487,352769532489998,826523257290487
826523296290487,352769724489998,826523257290487
826523297290487,352769728489998,826523257290487
826523302290487,352769801489998,826523257290487
826523310290487,352769822489998,826523257290487
826523775290487,352769596489998,826523772290487
826523699290487,352769609489998,826523684290487
826523706290487,352769727489998,826523684290487
826523714290487,352769800489998,826523684290487
826523615290487,352769412489998,826523610290487
826523618290487,352769454489998,826523610290487
826523620290487,352769462489998,826523610290487
826523630290487,352769523489998,826523610290487
826523636290487,352769543489998,826523610290487
826523640290487,352769602489998,826523610290487
826523643290487,352769608489998,826523610290487
826523648290487,352769667489998,826523610290487
826523649290487,352769669489998,826523610290487
826523656290487,352769730489998,826523610290487
826523657290487,352769732489998,826523610290487
826523661290487,352769741489998,826523610290487
826523662290487,352769743489998,826523610290487
826523667290487,352769752489998,826523610290487
826523669290487,352769802489998,826523610290487
826523675290487,352769816489998,826523610290487
826523731290487,352769457489998,826523721290487
826523737290487,352769527489998,826523721290487
826523739290487,352769537489998,826523721290487
826523742290487,352769588489998,826523721290487
826523757290487,352769728489998,826523721290487
1299950584290487,352769596489998,1299950581290487
1299950593290487,352769410489998,1299950588290487
1299950594290487,352769411489998,1299950588290487
1299950609290487,352769673489998,1299950588290487
1299950624290487,352769750489998,1299950588290487
1299950651290487,352769469489998,1299950632290487
1299950653290487,352769471489998,1299950632290487
1299950663290487,352769535489998,1299950632290487
1299950671290487,352769598489998,1299950632290487
1299950681290487,352769663489998,1299950632290487
1299950684290487,352769670489998,1299950632290487
1299950688290487,352769684489998,1299950632290487
1299950694290487,352769732489998,1299950632290487
1299950696290487,352769739489998,1299950632290487
1299950706290487,352769802489998,1299950632290487
1299950709290487,352769805489998,1299950632290487
1299950710290487,352769807489998,1299950632290487
1299950712290487,352769814489998,1299950632290487
1299950716290487,352769820489998,1299950632290487
1299950731290487,352769452489998,1299950722290487
1299950734290487,352769460489998,1299950722290487
1299950744290487,352769588489998,1299950722290487
1299950751290487,352769668489998,1299950722290487
1299950752290487,352769671489998,1299950722290487
1299950766290487,352769806489998,1299950722290487
1299950767290487,352769808489998,1299950722290487
1299950900290487,352769405489998,1299950897290487
1299950902290487,352769410489998,1299950897290487
1299950910290487,352769586489998,1299950897290487
1299950912290487,352769601489998,1299950897290487
1299950915290487,352769609489998,1299950897290487
1299950921290487,352769677489998,1299950897290487
1299950922290487,352769679489998,1299950897290487
1299950932290487,352769749489998,1299950897290487
1299950934290487,352769800489998,1299950897290487
1299950942290487,352769390489998,1299950941290487
1299950945290487,352769397489998,1299950941290487
1299950947290487,352769400489998,1299950941290487
1299950950290487,352769451489998,1299950941290487
1299950966290487,352769523489998,1299950941290487
1299950969290487,352769530489998,1299950941290487
1299950980290487,352769598489998,1299950941290487
1299950989290487,352769615489998,1299950941290487
1299951003290487,352769732489998,1299950941290487
1299951012290487,352769751489998,1299950941290487
1299951018290487,352769805489998,1299950941290487
1299951019290487,352769807489998,1299950941290487
1299951042290487,352769457489998,1299951031290487
1299951053290487,352769588489998,1299951031290487
1299951054290487,352769590489998,1299951031290487
1299951058290487,352769665489998,1299951031290487
1299951062290487,352769682489998,1299951031290487
1299951067290487,352769723489998,1299951031290487
1299951077290487,352769809489998,1299951031290487
1299951082290487,352769822489998,1299951031290487
1275865523290487,352769539489998,1275865516290487
1275865529290487,352769601489998,1275865516290487
1275865541290487,352769525489998,1275865516290487
1275865557290487,352769388489998,1275865516290487
1275865582290487,352769467489998,1275865563290487
1275865588290487,352769676489998,1275865563290487
1275865590290487,781817058290487,1275865563290487
1275865601290487,352769522489998,1275865563290487
1275865605290487,781817025290487,1275865563290487
1275865611290487,352769464489998,1275865563290487
1275865614290487,352769456489998,1275865563290487
1275865621290487,559740547126144,1275865563290487
1275865631290487,781817034290487,1275865563290487
1275865632290487,352769517489998,1275865563290487
1275865645290487,352769523489998,1275865563290487
1275865651290487,352769450489998,1275865563290487
1275865656290487,352769395489998,1275865563290487
1275865688290487,352769537489998,1275865659290487
1275865690290487,559740585126144,1275865659290487
1275865694290487,352769682489998,1275865659290487
1275865702290487,352769686489998,1275865659290487
1275865706290487,352769452489998,1275865659290487
1275865707290487,352769460489998,1275865659290487
1275865982290487,352769404489998,1275865973290487
1275866002290487,352769406489998,1275865973290487
1275866012290487,352769410489998,1275865973290487
1275866015290487,352769597489998,1275865973290487
1275866029290487,352769669489998,1275866019290487
1275866032290487,559740571126144,1275866019290487
1275866044290487,781817058290487,1275866019290487
1275866048290487,559740583126144,1275866019290487
1275866053290487,352769469489998,1275866019290487
1275866061290487,352769528489998,1275866019290487
1275866073290487,781816981290487,1275866019290487
1275866077290487,352769451489998,1275866019290487
1275866079290487,352769521489998,1275866019290487
1275866088290487,352769397489998,1275866019290487
1275866092290487,781817002290487,1275866019290487
1275865925290487,781816996290487,1275865918290487
1275865926290487,781817031290487,1275865918290487
1275865927290487,781816978290487,1275865918290487
