PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPCD,SPGRPCD,SEEDLING_COUNT,TPA_UNADJ,IS_MAINTAINED_AREA,IS_PLANTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1469516,1,55,5,59,22311,12,1,8739,56,1,74.9652824512,1,1,478152697489998,923463,478152689489998,478152685489998,
1467909,1,55,5,59,21583,12,1,6918,55,33,2473.8543208882,0,,707805047126144,923689,707805039126144,707805034126144,
1467909,1,55,5,59,21583,13,1,6918,55,18,1349.3750841208,0,,707805048126144,923689,707805040126144,707805034126144,
1469478,1,55,5,59,22292,12,1,544,36,1,74.9652824512,0,2,785694666290487,923693,785694654290487,785694646290487,
1469103,1,55,5,59,22180,14,1,972,41,3,224.8958473535,0,2,785697301290487,923699,785697289290487,785697279290487,
1468333,1,55,5,59,21795,12,3,313,41,2,149.9305649023,0,2,942083536290487,924132,942083532290487,942083525290487,
1469307,1,55,5,59,22221,11,1,313,41,1,74.9652824512,0,2,942163491290487,924136,942163484290487,942163480290487,
1852382,4,17,3,31,20041,12,1,681,42,1,74.9652824512,1,2,1287853654290487,352769396489998,1287853648290487,1287853644290487,
1852382,4,17,3,31,20041,13,1,752,37,20,1499.3056490231,1,2,1287853656290487,352769396489998,1287853649290487,1287853644290487,
1852455,4,17,3,31,20123,13,1,972,41,1,74.9652824512,0,,1287853840290487,352769424489998,1287853834290487,1287853826290487,
1852408,4,17,3,31,20178,13,1,241,9,1,74.9652824512,1,1,1287853441290487,352769427489998,1287853435290487,1287853426290487,
1857876,1,17,3,31,22132,12,1,681,42,1,74.9652824512,1,2,785694855290487,352769463489998,785694849290487,785694840290487,
1852371,4,17,3,31,20083,12,1,6918,55,55,4123.0905348136,0,,942210938290487,352769487489998,942210933290487,942210929290487,
1916222,6,18,4,89,20048,12,1,763,43,17,1274.4098016697,0,2,942231676290487,352769508489998,942231669290487,942231665290487,
1856914,1,17,3,31,23344,12,1,541,36,3,224.8958473535,0,,785696882290487,352769538489998,785696875290487,785696870290487,
1855516,1,17,3,31,23403,13,1,6918,55,48,3598.3335576555,0,,785694961290487,352769539489998,785694954290487,785694945290487,
1852474,4,17,3,31,20039,11,1,6918,55,45,3373.437710302,0,,942083332290487,352769554489998,942083324290487,942083320290487,
1852474,4,17,3,31,20039,13,1,544,36,20,1499.3056490231,0,,942083335290487,352769554489998,942083326290487,942083320290487,
1795832,4,17,3,89,20017,12,1,974,41,1,74.9652824512,0,,942084946290487,352769568489998,942084935290487,942084929290487,
1795832,4,17,3,89,20017,14,2,462,41,4,299.8611298046,0,,942084948290487,352769568489998,942084938290487,942084930290487,
1795845,4,17,3,89,20023,14,1,760,43,1,74.9652824512,0,,942084097290487,352769569489998,942084089290487,942084083290487,
1795845,4,17,3,89,20023,14,1,6918,55,1,74.9652824512,0,,942084099290487,352769569489998,942084089290487,942084083290487,
1917873,4,18,4,73,20155,14,1,931,41,33,2473.8543208882,0,,942083050290487,352769577489998,942083043290487,942083037290487,
1852352,4,17,3,31,20202,13,1,972,41,1,74.9652824512,1,2,785698875290487,352769616489998,785698863290487,785698859290487,
1852401,5,17,3,31,20132,14,1,318,31,2,149.9305649023,1,2,785697822290487,352769626489998,785697817290487,785697810290487,
1852426,4,17,3,31,20011,12,1,6918,55,25,1874.1320612789,0,,785696059290487,352769627489998,785696050290487,785696041290487,
1796315,4,17,3,97,20064,11,1,742,37,59,4422.9516646182,0,2,785696163290487,352769631489998,785696156290487,785696152290487,
1797320,4,17,3,111,20200,14,1,602,40,1,74.9652824512,0,,785694449290487,352769647489998,785694441290487,785694434290487,
1797328,4,17,3,111,20065,11,1,5154,55,1,74.9652824512,0,2,785696284290487,352769648489998,785696273290487,785696269290487,
1797328,4,17,3,111,20065,11,1,6918,55,16,1199.4445192185,0,2,785696285290487,352769648489998,785696273290487,785696269290487,
1797328,4,17,3,111,20065,13,1,972,41,2,149.9305649023,0,2,785696291290487,352769648489998,785696275290487,785696269290487,
1797328,4,17,3,111,20065,14,1,6918,55,11,824.6181069627,0,2,785696297290487,352769648489998,785696276290487,785696269290487,
1837449,4,17,3,197,20129,11,1,541,36,4,299.8611298046,1,2,707806929126144,352769703489998,707806922126144,707806919126144,
1853036,4,17,3,43,20013,14,1,8421,55,1,74.9652824512,0,2,707807257126144,352769708489998,707807251126144,707807245126144,
1915883,4,18,4,127,20048,11,1,931,41,16,1199.4445192185,0,,707805973126144,352769716489998,707805965126144,707805962126144,
1915883,4,18,4,127,20048,14,1,833,26,1,74.9652824512,0,,707805978126144,352769716489998,707805968126144,707805962126144,
1854642,1,17,3,31,23241,11,1,500,43,1,74.9652824512,1,2,491757905126144,352769721489998,491757894126144,491757891126144,
1856834,1,17,3,31,23262,11,2,462,41,1,74.9652824512,1,2,491758105126144,352769727489998,491758095126144,491758093126144,
1855673,1,17,3,31,22165,13,1,6918,55,1,74.9652824512,0,,491758532126144,352769743489998,491758520126144,491758515126144,
1855673,1,17,3,31,22165,14,1,313,41,1,74.9652824512,0,,491758533126144,352769743489998,491758521126144,491758515126144,
1855673,1,17,3,31,22165,14,1,6918,55,1,74.9652824512,0,,491758535126144,352769743489998,491758521126144,491758515126144,
1852479,4,17,3,31,20133,13,1,6918,55,87,6521.9795732506,0,,491758934126144,352769757489998,491758926126144,491758922126144,
1796301,4,17,3,97,20087,13,1,6918,55,1,74.9652824512,0,2,491759379126144,352769767489998,491759373126144,491759369126144,
1915950,4,18,4,89,20056,12,1,541,36,7,524.7569771581,0,2,528824563126144,352769791489998,528824551126144,528824547126144,
1857880,1,17,3,31,22128,11,1,972,41,1,74.9652824512,0,2,478150955489998,352769816489998,478150946489998,478150943489998,
1857896,1,17,3,31,22193,11,1,317,32,1,74.9652824512,1,2,478151091489998,352769820489998,478151078489998,478151076489998,
1855691,1,17,3,31,22147,14,1,681,42,5,374.8264122558,0,2,478151118489998,352769821489998,478151111489998,478151106489998,
1857721,1,17,3,31,21968,11,1,317,32,7,524.7569771581,1,2,478151170489998,352769823489998,478151160489998,478151152489998,
1852402,4,17,3,31,20005,12,1,974,41,7,524.7569771581,0,2,478151528489998,352769834489998,478151515489998,478151511489998,
1796340,4,17,3,97,20080,14,2,6918,55,3,224.8958473535,0,,478151766489998,352769840489998,478151754489998,478151748489998,
1796372,4,17,3,97,20061,11,1,543,36,2,149.9305649023,0,,478151911489998,352769843489998,478151904489998,478151902489998,
1796372,4,17,3,97,20061,13,1,543,36,3,224.8958473535,0,,478151913489998,352769843489998,478151906489998,478151902489998,
1853009,4,17,3,43,20202,12,1,500,43,1,74.9652824512,0,,478152052489998,352769848489998,478152043489998,478152040489998,
1853009,4,17,3,43,20202,13,1,544,36,1,74.9652824512,0,,478152055489998,352769848489998,478152044489998,478152040489998,
1467836,1,55,5,59,21546,11,1,313,41,1,74.9652824512,0,,707804914126144,923687,707804907126144,707804901126144,
1467836,1,55,5,59,21546,13,1,313,41,2,149.9305649023,0,,707804917126144,923687,707804909126144,707804901126144,
1467909,1,55,5,59,21583,12,1,544,36,15,1124.4792367673,0,,707805046126144,923689,707805039126144,707805034126144,
1469478,1,55,5,59,22292,12,1,6918,55,14,1049.5139543162,0,2,785694667290487,923693,785694654290487,785694646290487,
1469478,1,55,5,59,22292,12,1,8738,56,1,74.9652824512,0,3,785694668290487,923693,785694654290487,785694646290487,
1467849,1,55,5,59,21553,11,1,544,36,1,74.9652824512,0,2,785692889290487,923694,785692882290487,785692876290487,
1469103,1,55,5,59,22180,12,1,681,42,1,74.9652824512,0,2,785697296290487,923699,785697287290487,785697279290487,
1469103,1,55,5,59,22180,12,1,972,41,1,74.9652824512,0,2,785697297290487,923699,785697287290487,785697279290487,
1469103,1,55,5,59,22180,14,1,544,36,1,74.9652824512,0,2,785697300290487,923699,785697289290487,785697279290487,
1469103,1,55,5,59,22180,14,1,6918,55,73,5472.4656189344,0,2,785697302290487,923699,785697289290487,785697279290487,
1467826,1,55,5,59,21541,11,1,544,36,7,524.7569771581,1,2,1287177484290487,924143,1287177477290487,1287177472290487,
1852408,4,17,3,31,20178,11,1,241,9,2,149.9305649023,1,1,1287853440290487,352769427489998,1287853433290487,1287853426290487,
1852987,4,17,3,43,20047,12,1,541,36,1,74.9652824512,1,2,1287852462290487,352769428489998,1287852456290487,1287852452290487,
1795839,4,17,3,89,20028,11,1,544,36,3,224.8958473535,0,,1287853979290487,352769435489998,1287853972290487,1287853966290487,
1795839,4,17,3,89,20028,14,1,544,36,2,149.9305649023,0,,1287853985290487,352769435489998,1287853975290487,1287853966290487,
1795839,4,17,3,89,20028,14,1,6918,55,10,749.6528245116,0,,1287853986290487,352769435489998,1287853975290487,1287853966290487,
1852359,4,17,3,31,20203,11,2,681,42,3,224.8958473535,0,2,942212670290487,352769474489998,942212663290487,942212657290487,
1852467,8,17,3,31,20098,14,1,6918,55,2,149.9305649023,0,,942211745290487,352769499489998,942211734290487,942211729290487,
1795882,4,17,3,89,20042,11,1,6918,55,5,374.8264122558,0,,942211802290487,352769505489998,942211797290487,942211795290487,
1795882,4,17,3,89,20042,13,1,6918,55,5,374.8264122558,0,,942211804290487,352769505489998,942211799290487,942211795290487,
1856942,1,17,3,31,23370,13,1,471,43,2,149.9305649023,1,2,785696834290487,352769537489998,785696829290487,785696824290487,
1856914,1,17,3,31,23344,12,1,6918,55,13,974.548671865,0,,785696883290487,352769538489998,785696875290487,785696870290487,
1855516,1,17,3,31,23403,11,1,6918,55,31,2323.9237559859,0,,785694959290487,352769539489998,785694952290487,785694945290487,
1852474,4,17,3,31,20039,14,1,544,36,4,299.8611298046,0,,942083337290487,352769554489998,942083327290487,942083320290487,
1852352,4,17,3,31,20202,12,1,972,41,1,74.9652824512,1,2,785698871290487,352769616489998,785698862290487,785698859290487,
1852352,4,17,3,31,20202,13,1,611,34,2,149.9305649023,1,2,785698873290487,352769616489998,785698863290487,785698859290487,
1852426,4,17,3,31,20011,11,1,6918,55,24,1799.1667788278,0,,785696056290487,352769627489998,785696049290487,785696041290487,
1852426,4,17,3,31,20011,12,1,544,36,1,74.9652824512,0,,785696058290487,352769627489998,785696050290487,785696041290487,
1852426,4,17,3,31,20011,13,1,6918,55,35,2623.7848857905,0,,785696060290487,352769627489998,785696051290487,785696041290487,
1797328,4,17,3,111,20065,12,1,6918,55,10,749.6528245116,0,2,785696289290487,352769648489998,785696274290487,785696269290487,
1837534,4,17,3,197,20021,11,1,681,42,1,74.9652824512,1,2,785694534290487,352769651489998,785694527290487,785694523290487,
1853036,4,17,3,43,20013,12,1,6918,55,1,74.9652824512,0,2,707807256126144,352769708489998,707807249126144,707807245126144,
1915883,4,18,4,127,20048,12,1,931,41,15,1124.4792367673,0,,707805975126144,352769716489998,707805966126144,707805962126144,
1915883,4,18,4,127,20048,13,1,931,41,20,1499.3056490231,0,,707805977126144,352769716489998,707805967126144,707805962126144,
1915883,4,18,4,127,20048,14,1,931,41,29,2173.9931910835,0,,707805979126144,352769716489998,707805968126144,707805962126144,
1852479,4,17,3,31,20133,14,1,6918,55,67,5022.6739242275,0,,491758935126144,352769757489998,491758927126144,491758922126144,
1852357,4,17,3,31,20116,11,1,541,36,6,449.7916947069,0,,491759043126144,352769758489998,491759036126144,491759034126144,
1852425,4,17,3,31,20183,11,1,544,36,2,149.9305649023,0,2,491759146126144,352769759489998,491759139126144,491759137126144,
1796313,4,17,3,97,20021,14,1,500,43,1,74.9652824512,0,2,491759275126144,352769765489998,491759271126144,491759266126144,
1852370,5,17,3,31,20112,12,1,681,42,1,74.9652824512,1,2,491759321126144,352769766489998,491759308126144,491759305126144,
1853014,4,17,3,43,20006,11,1,6918,55,14,1049.5139543162,1,2,491757397126144,352769781489998,491757387126144,491757385126144,
1917629,4,18,4,89,20011,14,1,6918,55,1,74.9652824512,1,2,528824603126144,352769792489998,528824597126144,528824592126144,
1854651,1,17,3,31,23232,11,1,8739,56,1,74.9652824512,1,1,478150015489998,352769800489998,478150006489998,478150003489998,
1857748,1,17,3,31,22022,12,1,541,36,1,74.9652824512,1,2,478151027489998,352769818489998,478151013489998,478151009489998,
1857721,1,17,3,31,21968,13,1,317,32,3,224.8958473535,1,2,478151174489998,352769823489998,478151162489998,478151152489998,
1796375,4,17,3,97,20011,11,1,763,43,1,74.9652824512,0,2,478151667489998,352769839489998,478151658489998,478151655489998,
1796375,4,17,3,97,20011,13,2,544,36,2,149.9305649023,0,2,478151674489998,352769839489998,478151661489998,478151656489998,
1796372,4,17,3,97,20061,13,1,972,41,1,74.9652824512,0,,478151914489998,352769843489998,478151906489998,478151902489998,
1853009,4,17,3,43,20202,12,1,68,9,4,299.8611298046,0,,478152051489998,352769848489998,478152043489998,478152040489998,
1853009,4,17,3,43,20202,13,1,6918,55,52,3898.1946874601,0,,478152056489998,352769848489998,478152044489998,478152040489998,
1852420,4,17,3,31,20177,11,1,975,41,2,149.9305649023,0,2,478152115489998,352769849489998,478152106489998,478152104489998,
1852420,4,17,3,31,20177,14,1,975,41,1,74.9652824512,0,2,478152118489998,352769849489998,478152109489998,478152104489998,
1859375,2,17,3,31,21803,12,2,544,36,1,74.9652824512,1,2,942085058290487,559740557126144,942085054290487,942085040290487,352769805489998.0
1855691,2,17,3,31,22147,14,1,681,42,5,374.8264122558,0,2,942085153290487,559740567126144,942085146290487,942085140290487,352769821489998.0
1469103,1,55,5,59,22180,11,1,6918,55,14,1049.5139543162,0,2,785697295290487,923699,785697290290487,785697279290487,
1468333,1,55,5,59,21795,12,3,681,42,3,224.8958473535,0,2,942083537290487,924132,942083532290487,942083525290487,
