PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,OFFSET_POINT,CONDLIST,TREE,SPCD,DIA,HT,AGEDIA,DIST,AZIMUTH,OFFSET_DIST,OFFSET_AZIMUTH,CN,PLT_CN,SBP_CN,PREV_PLT_CN,SITE_INDEX,SITE_INDEX_METHOD_CD
1852474,4,17,3,31,20039,1,,100000,1,742,10.5,87,35,,,,,942083339290487,352769554489998,942083323290487,,76,1
1837445,4,17,3,197,20088,1,,100000,1,317,8.4,52,42,,,,,491757130126144,352769774489998,491757119126144,,52,1
1795838,4,17,3,89,20052,1,,100000,1,742,5.3,36,17,,,,,942211620290487,352769490489998,942211612290487,,42,1
1789905,4,17,3,63,20073,1,,200000,1,823,24.8,64,81,,,,,942085013290487,352769576489998,942085005290487,,45,1
1915883,4,18,4,127,20048,1,,100000,3,833,8.2,53,45,,,,,707805980126144,352769716489998,707805964126144,,53,1
1852455,4,17,3,31,20123,1,,100000,1,951,13.8,86,63,,,,,1287853842290487,352769424489998,1287853831290487,,73,1
1852490,4,17,3,31,20062,1,,100000,3,317,13.1,69,30,,,,,942082826290487,352769546489998,942082818290487,,74,1
1852364,4,17,3,31,20006,1,,200000,1,317,11.4,69,44,,,,,785695330290487,352769620489998,785695318290487,,69,1
1852426,4,17,3,31,20011,1,,100000,1,541,12.0,73,32,,,,,785696063290487,352769627489998,785696048290487,,89,1
1796372,4,17,3,97,20061,1,,100000,1,802,20.7,90,100,,,,,478151916489998,352769843489998,478151903489998,,56,1
1469838,5,55,5,59,20025,1,,100000,1,830,12.8,71,61,,,,,942084745290487,924013,942084736290487,,63,1
1915895,5,18,4,89,20113,1,,100000,3,407,16.1,75,106,,,,,1287853145290487,352769446489998,1287853138290487,,47,1
1852371,4,17,3,31,20083,1,,100000,3,742,14.7,68,50,,,,,942210941290487,352769487489998,942210931290487,,56,1
1795832,4,17,3,89,20017,1,,200000,2,541,9.7,64,29,,,,,942084949290487,352769568489998,942084934290487,,83,1
1915119,4,18,4,127,20096,1,,100000,1,621,9.7,50,21,,,,,942084266290487,352769580489998,942084252290487,,72,1
1853044,4,17,3,43,20014,1,,200000,1,901,13.7,90,32,,,,,785699034290487,352769645489998,785699026290487,,105,1
1915975,4,18,4,89,20027,1,,200000,1,837,10.9,74,39,,,,,942084669290487,352769581489998,942084659290487,,81,1
1837451,4,17,3,197,20160,1,,200000,1,544,10.5,69,27,,,,,785696195290487,352769637489998,785696187290487,,97,1
1467909,1,55,5,59,21583,1,,100000,1,742,13.5,65,27,,,,,707805049126144,923689,707805037126144,,61,1
1856914,1,17,3,31,23344,1,,100000,40,742,16.2,81,38,,,,,785696886290487,352769538489998,785696873290487,,70,1
1917873,4,18,4,73,20155,1,,100000,1,802,23.7,85,111,,,,,942083051290487,352769577489998,942083039290487,,50,1
1853030,4,17,3,43,20009,1,,100000,1,833,13.8,61,35,,,,,785695559290487,352769644489998,785695547290487,,71,1
1795861,4,17,3,89,20067,1,,100000,1,762,9.7,59,25,,,,,785697951290487,352769646489998,785697941290487,,81,1
1852357,4,17,3,31,20116,1,,100000,2,833,12.9,88,51,,,,,491759048126144,352769758489998,491759035126144,,85,1
1467836,1,55,5,59,21546,1,,100000,1,742,7.6,55,19,,,,,707804919126144,923687,707804906126144,,60,1
1796293,4,17,3,97,20085,1,,100000,1,129,15.1,74,54,,,,,1287853334290487,352769419489998,1287853326290487,,60,1
1855673,1,17,3,31,22165,1,,100000,1,462,6.5,53,18,,,,,491758536126144,352769743489998,491758517126144,,85,1
1796340,4,17,3,97,20080,1,,200000,1,541,17.4,88,59,,,,,478151767489998,352769840489998,478151750489998,,79,1
1853009,4,17,3,43,20202,1,,100000,1,68,7.8,28,34,,,,,478152060489998,352769848489998,478152041489998,,29,1
1855516,1,17,3,31,23403,1,,100000,47,833,17.6,76,83,,,,,785694963290487,352769539489998,785694951290487,,58,1
1797301,4,17,3,111,20105,1,,100000,1,972,10.2,61,49,,,,,942082557290487,352769564489998,942082538290487,,58,1
1797320,4,17,3,111,20200,1,,100000,1,972,10.6,46,34,,,,,785694450290487,352769647489998,785694437290487,,56,1
1917561,4,18,4,127,20069,1,,200000,1,544,18.0,108,62,,,,,785694592290487,352769655489998,785694582290487,,103,1
1852479,4,17,3,31,20133,1,,100000,2,951,11.7,51,34,,,,,491758936126144,352769757489998,491758923126144,,62,1
1916010,5,18,4,89,20121,1,,200000,1,317,7.4,43,16,,,,,478152539489998,352769866489998,478152530489998,,61,1
