PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CENTER_CONDID,REMAINING_CONDID,SUBP_STATUS_CD,SUBP_NONSAMPLE_REASN_CD,SLOPE,ASPECT,WATER_DEPTH,CN,PLT_CN,CENTER_CND_CN,REMAINING_CND_CN,PREV_PLT_CN
1796327,4,17,3,97,20023,14,1,1,2,,,,0.0,942082508290487,352769556489998,942082502290487,,
1796311,4,17,3,97,20059,1,1,1,2,,,,0.0,942083616290487,352769557489998,942083614290487,942083614290487.0,
1837506,4,17,3,197,20116,11,1,1,2,,,,0.0,942084909290487,352769558489998,942084906290487,,
1837512,4,17,3,197,20081,1,1,1,3,,,,4.0,942084527290487,352769559489998,942084526290487,942084526290487.0,
1837512,4,17,3,197,20081,11,1,1,3,,,,4.0,942084528290487,352769559489998,942084526290487,,
1797301,4,17,3,111,20105,12,1,1,1,,7.0,225.0,0.0,942082540290487,352769564489998,942082536290487,,
1852411,4,17,3,31,20032,13,1,1,2,,,,0.0,707807396126144,352769693489998,707807388126144,,
1852414,4,17,3,31,20067,1,1,1,2,,,,0.0,707805431126144,352769694489998,707805429126144,707805429126144.0,
1852484,4,17,3,31,20176,12,1,1,2,,,,0.0,707805683126144,352769695489998,707805679126144,,
1852484,4,17,3,31,20176,13,1,1,2,,,,0.0,707805684126144,352769695489998,707805679126144,,
1796300,4,17,3,97,20057,1,1,1,2,,,,0.0,707805917126144,352769696489998,707805916126144,707805916126144.0,
1796324,4,17,3,97,20074,11,1,1,2,,,,0.0,707806215126144,352769704489998,707806210126144,,
1853036,4,17,3,43,20013,14,1,1,2,,,,0.0,707807251126144,352769708489998,707807245126144,,
1853043,4,17,3,43,20012,14,1,1,2,,,,0.0,707805706126144,352769709489998,707805699126144,,
1797317,4,17,3,111,20019,11,1,1,2,,,,0.0,707805759126144,352769712489998,707805755126144,,
1797333,4,17,3,111,20050,1,1,1,2,,,,0.0,707806962126144,352769713489998,707806960126144,707806960126144.0,
1915915,4,18,4,89,20076,14,1,1,4,2.0,,,,707807426126144,352769715489998,707807417126144,,
1915979,4,18,4,89,29990,12,1,1,2,,,,0.0,707806984126144,352769717489998,707806980126144,,
1854642,1,17,3,31,23241,11,1,1,2,,,,0.0,491757894126144,352769721489998,491757891126144,,
1856805,1,17,3,31,23210,11,1,1,2,,,,0.0,491757935126144,352769722489998,491757933126144,,
1856814,1,17,3,31,23201,1,1,1,2,,,,0.0,491757950126144,352769723489998,491757949126144,491757949126144.0,
1856814,1,17,3,31,23201,13,1,1,2,,,,0.0,491757953126144,352769723489998,491757949126144,,
1856776,1,17,3,31,23185,14,1,1,2,,,,0.0,491757975126144,352769724489998,491757968126144,,
1854662,1,17,3,31,23221,1,1,1,2,,,,0.0,491757995126144,352769725489998,491757993126144,491757993126144.0,
1856828,1,17,3,31,23268,13,1,1,2,,,,0.0,491758048126144,352769726489998,491758043126144,,
1856803,1,17,3,31,23212,13,1,1,2,,,,0.0,491758174126144,352769729489998,491758170126144,,
1857703,1,17,3,31,21825,13,1,1,2,,,,0.0,491758194126144,352769730489998,491758190126144,,
1852387,4,17,3,31,20101,13,1,1,2,,,,0.0,491758224126144,352769731489998,491758218126144,,
1856846,1,17,3,31,23250,12,1,1,2,,,,0.0,491758261126144,352769732489998,491758256126144,,
1857002,1,17,3,31,23445,1,1,1,2,,,,0.0,491758304126144,352769734489998,491758303126144,491758303126144.0,
1857000,1,17,3,31,23447,14,1,1,2,,,,0.0,491758328126144,352769735489998,491758323126144,,
1857888,1,17,3,31,22120,12,1,1,2,,,,0.0,491758452126144,352769740489998,491758449126144,,
1857893,1,17,3,31,22196,1,1,1,2,,,,0.0,491758466126144,352769741489998,491758465126144,491758465126144.0,
1855673,1,17,3,31,22165,1,1,1,1,,4.0,0.0,0.0,491758517126144,352769743489998,491758515126144,491758515126144.0,
1857870,1,17,3,31,22138,13,1,1,2,,,,0.0,491758630126144,352769745489998,491758625126144,,
1857910,1,17,3,31,22179,13,1,1,2,,,,0.0,491758743126144,352769749489998,491758737126144,,
1857843,1,17,3,31,22111,12,1,1,2,,,,0.0,491758779126144,352769750489998,491758776126144,,
1857843,1,17,3,31,22111,14,1,1,2,,,,0.0,491758781126144,352769750489998,491758776126144,,
1856954,1,17,3,31,23358,1,1,1,2,,,,0.0,491758801126144,352769751489998,491758799126144,491758799126144.0,
1795845,4,17,3,89,20023,1,1,1,1,,2.0,0.0,0.0,942084087290487,352769569489998,942084083290487,942084083290487.0,
1853029,4,17,3,43,20061,12,1,1,2,,,,0.0,942084186290487,352769571489998,942084179290487,,
1853029,4,17,3,43,20061,13,1,1,2,,,,0.0,942084187290487,352769571489998,942084179290487,,
1797330,4,17,3,111,20087,1,1,1,2,,,,0.0,942084635290487,352769573489998,942084633290487,942084633290487.0,
1797330,4,17,3,111,20087,11,1,1,2,,,,0.0,942084636290487,352769573489998,942084633290487,,
1797330,4,17,3,111,20087,12,1,1,2,,,,0.0,942084637290487,352769573489998,942084633290487,,
1789905,4,17,3,63,20073,1,1,1,1,,24.0,186.0,0.0,942085005290487,352769576489998,942085001290487,942085001290487.0,
1917873,4,18,4,73,20155,11,1,1,1,,3.0,0.0,0.0,942083040290487,352769577489998,942083037290487,,
1916052,4,18,4,89,20075,14,1,1,2,,,,0.0,942083652290487,352769578489998,942083645290487,,
1854657,1,17,3,31,23226,14,1,1,2,,,,0.0,785695111290487,352769586489998,785695105290487,,
1856864,1,17,3,31,23286,14,1,1,2,,,,0.0,785694271290487,352769588489998,785694265290487,,
1857031,1,17,3,31,23470,12,1,1,2,,,,0.0,785698236290487,352769591489998,785698231290487,,
1857019,1,17,3,31,23482,1,1,1,2,,,,0.0,785695929290487,352769592489998,785695922290487,785695922290487.0,
1857019,1,17,3,31,23482,14,1,1,2,,,,0.0,785695932290487,352769592489998,785695922290487,,
1856995,1,17,3,31,23452,11,1,1,2,,,,0.0,785695137290487,352769593489998,785695134290487,,
1855180,1,17,3,31,21978,11,1,1,4,2.0,,,,785695167290487,352769594489998,785695159290487,,
1857125,1,17,3,31,23619,13,1,1,2,,,,0.0,785695185290487,352769597489998,785695181290487,,
1857058,1,17,3,31,23497,11,1,1,2,,,,0.0,785694337290487,352769598489998,785694327290487,,
1852332,4,17,3,31,20010,13,1,1,2,,,,0.0,785696025290487,352769601489998,785696018290487,,
1857977,1,17,3,31,22301,12,1,1,2,,,,0.0,785695214290487,352769606489998,785695205290487,,
1857977,1,17,3,31,22301,14,1,1,2,,,,0.0,785695216290487,352769606489998,785695205290487,,
1855674,1,17,3,31,22164,14,1,1,4,2.0,,,,785695277290487,352769607489998,785695271290487,,
1857817,1,17,3,31,22064,13,1,1,2,,,,0.0,785697147290487,352769608489998,785697141290487,,
1855519,1,17,3,31,23400,1,1,1,2,,,,0.0,785694395290487,352769612489998,785694389290487,785694389290487.0,
1855519,1,17,3,31,23400,11,1,1,2,,,,0.0,785694396290487,352769612489998,785694389290487,,
1854669,1,17,3,31,23592,12,1,1,2,,,,0.0,785693647290487,352769614489998,785693638290487,,
1854669,1,17,3,31,23592,13,1,1,2,,,,0.0,785693648290487,352769614489998,785693638290487,,
1852353,4,17,3,31,20022,1,1,1,2,,,,0.0,785693715290487,352769618489998,785693711290487,785693712290487.0,
1852430,4,17,3,31,20065,13,1,1,2,,,,0.0,785698897290487,352769619489998,785698891290487,,
