PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,CONDPROP_UNADJ,PCT_TREE_COVER,PCT_SHRUB_SEED_COVER,GR_COV_PCT_BLDG,GR_COV_PCT_IMPERVIOUS,GR_COV_PCT_PERMEABLE,GR_COV_PCT_HERBACEOUS,GR_COV_PCT_WATER,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1855673,2,17,3,31,22165,1,1,0.8127476954,5.0,2.0,0.0,80.0,5.0,15.0,0.0,942231823290487,781816984290487,942231812290487,942231809290487,352769743489998.0
1855673,2,17,3,31,22165,1,2,0.1872523046,10.0,3.0,0.0,30.0,3.0,67.0,0.0,942231824290487,781816984290487,942231812290487,942231810290487,352769743489998.0
1857843,2,17,3,31,22111,14,1,1.0,,,,,,,,942230890290487,781816987290487,942230882290487,942230876290487,352769750489998.0
1857762,2,17,3,31,22008,14,1,1.0,,,,,,,,942230913290487,781816993290487,942230905290487,942230899290487,352769738489998.0
1857000,2,17,3,31,23447,11,1,1.0,,,,,,,,942231438290487,781816996290487,942231430290487,942231427290487,352769735489998.0
1857776,2,17,3,31,22048,1,1,0.7848302066,15.0,0.0,0.0,80.0,0.0,20.0,0.0,942231332290487,781817002290487,942231323290487,942231316290487,352769737489998.0
1857776,2,17,3,31,22048,1,2,0.2151697934,10.0,1.0,0.0,10.0,1.0,89.0,0.0,942231333290487,781817002290487,942231323290487,942231317290487,352769737489998.0
1857868,2,17,3,31,22140,1,2,0.7917677218,1.0,1.0,20.0,64.0,1.0,15.0,0.0,942231052290487,781817008290487,942231040290487,942231032290487,352769748489998.0
1857868,2,17,3,31,22140,12,2,0.3900132125,,,,,,,,942231058290487,781817008290487,942231041290487,942231032290487,352769748489998.0
1857870,2,17,3,31,22138,1,1,0.9867087073,0.0,0.0,80.0,5.0,0.0,15.0,0.0,942231080290487,781817011290487,942231072290487,942231069290487,352769745489998.0
1857071,2,17,3,31,23538,1,1,0.9988786409,,,,,,,,942231373290487,781817020290487,942231362290487,942231356290487,352769742489998.0
1857071,2,17,3,31,23538,14,1,1.0,,,,,,,,942231379290487,781817020290487,942231366290487,942231356290487,352769742489998.0
1856803,2,17,3,31,23212,12,1,1.0,,,,,,,,942231911290487,781817025290487,942231900290487,942231893290487,352769729489998.0
1856803,2,17,3,31,23212,13,1,1.0,,,,,,,,942231912290487,781817025290487,942231901290487,942231893290487,352769729489998.0
1857002,2,17,3,31,23445,13,1,1.0,,,,,,,,942230741290487,781817028290487,942230733290487,942230728290487,352769734489998.0
1857703,2,17,3,31,21825,1,1,1.0,20.0,2.0,30.0,15.0,52.0,3.0,0.0,942230762290487,781817034290487,942230754290487,942230751290487,352769730489998.0
1857703,2,17,3,31,21825,11,1,1.0,,,,,,,,942230763290487,781817034290487,942230755290487,942230751290487,352769730489998.0
1856828,2,17,3,31,23268,1,2,0.060989641,,,,,,,,942230824290487,781817040290487,942230815290487,942230813290487,352769726489998.0
1856828,2,17,3,31,23268,13,1,1.0,,,,,,,,942230828290487,781817040290487,942230818290487,942230812290487,352769726489998.0
1856834,2,17,3,31,23262,11,1,0.9996141764,,,,,,,,942230954290487,781817043290487,942230942290487,942230933290487,352769727489998.0
1854642,2,17,3,31,23241,13,1,1.0,,,,,,,,942231415290487,781817046290487,942231402290487,942231393290487,352769721489998.0
