PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,TREE,STEM,MOTHER_TREE,OFFSET_POINT,DIST,AZIMUTH,STATUSCD,TREECLCD,SPCD,SPGRPCD,STANDING_DEAD_CD,UTILCLCD,MORTYR,DIA,DIACHECK,DIAHTCD,LTDMP,TOTAL_LENGTH,ACTUAL_LENGTH,HTCD,ABNORMAL_STEM_TERMINATION,RECONCILECD,BOLE_STUMP_REMOVED,FIELD_PREV_DIA,FIELD_PREV_STATUS_CD,FIELD_PREV_NBR_STEMS,CROWN_CLASS_CD,COMP_CROWN_RATIO,DMG_ROOT_STEM_GIRDLING,DMG_TRUNK_BARK_INCLUSION,DMG_TOPPING_PRUNING,DMG_EXCESS_MULCH,DMG_SIDEWALK_ROOT_CONFLICT,DMG_OVERHEAD_WIRES,DMG_IMPROPER_PLANTING,DAMAGE_AGENT_1,DAMAGE_AGENT_2,DAMAGE_AGENT_3,NBR_STEMS,CULL_FLD,ROUGHCULL,CAUSE_OF_DEATH,DECAYCD,MORTALITY_CD,TREECLCD_NRS,TREECLCD_SRS,TREECLCD_PNWRS,TREECLCD_RMRS,TREE_GRADE,TREE_SITE_INDEX,BASAL_AREA,TPA_UNADJ,CARBON_AG,CARBON_BG,DRYBIO_AG,DRYBIO_BG,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSNET,VOLCSNET_BARK,VOLCSSND,VOLCSSND_BARK,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,CN,PLT_CN,SBP_CN,CND_CN,MTRE_CN,PREV_PLT_CN,PREV_TRE_CN
1915119,4,18,4,127,20096,1,1,20,20,,,,,1,2.0,972,41,,,,7.7,0.0,1,,55.0,,1.0,,,,,,,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,73.0,0.32336766,6.0180462857,139.025654,25.581387,291.458395,53.629742,170.099862,22.310469,63.234442,6.246563,,,201.760803,26.46315,14.343245,1.881274,,,,,5.86057,0.973352,0.494178,0.082076,0.596659,0.099096,5.743359,0.963619,5.801965,0.973352,0.489236,0.082076,0.590692,0.099096,,,,,,,6.951407,1.154524,6.881893,1.154524,942084333290487,352769580489998,942084252290487,942084249290487,942084292290487,,
1915975,4,18,4,89,20027,1,2,4,4,,,,,1,3.0,931,41,,,,7.8,0.0,1,,50.0,,1.0,,,,,,,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,81.0,0.33182136,6.0180462857,111.497809,22.900454,247.772909,50.889899,147.810503,26.563126,44.17969,7.869097,,,172.578941,31.014278,10.591816,1.903462,,,,,5.908733,0.909892,0.423408,0.065201,0.566711,0.087268,5.022423,0.791606,5.790558,0.909892,0.41494,0.065201,0.555377,0.087268,,,,,,,6.898853,1.062361,6.760876,1.062361,942084693290487,352769581489998,942084659290487,942084656290487,942084684290487,,
1915975,4,18,4,89,20027,1,2,1,1,,,,,1,2.0,837,28,,,,21.6,0.0,1,5.1,92.0,,1.0,,,,,,,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,4.0,81.0,2.54461824,6.0180462857,2285.429788,377.494033,4831.775451,798.084636,2682.1866,533.97693,1459.953168,72.805531,2556.381438,508.9313,2812.001461,559.820822,121.548116,24.198126,406.487087,331.69956,,,81.507951,15.53238,3.69368,0.703878,0.251215,0.047872,79.877792,15.377056,80.692871,15.53238,3.656743,0.703878,0.248703,0.047872,77.684905,14.80385,76.131207,14.655811,76.908056,14.80385,85.452845,16.28413,84.598317,16.28413,942084690290487,352769581489998,942084659290487,942084656290487,942084681290487,,
1915975,4,18,4,89,20027,1,2,7,7,,,,,1,2.0,837,28,,,,9.1,0.0,1,,82.0,,1.0,,,,,,,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,81.0,0.45164574,6.0180462857,299.337813,67.864277,632.8495,143.476272,426.014125,77.147156,76.432237,8.288029,,,471.104639,85.312624,22.476559,4.070294,,,,,12.734142,3.286656,0.671855,0.173404,0.675962,0.174464,12.479459,3.25379,12.606801,3.286656,0.665136,0.173404,0.669202,0.174464,,,,,,,14.081959,3.634525,13.941139,3.634525,942084696290487,352769581489998,942084659290487,942084656290487,942084687290487,,
1915119,4,18,4,127,20096,1,1,6,6,,,,,1,2.0,762,41,,,,5.6,0.0,1,,48.0,,1.0,,,,,,,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,72.0,0.17103744,6.0180462857,78.443119,13.743213,164.450984,28.811767,86.039121,13.781309,28.660501,4.067024,,,117.043112,18.74737,7.261823,1.163162,,,,,2.796822,0.509378,0.236056,0.042992,0.771772,0.140561,2.740886,0.504285,2.768854,0.509378,0.233695,0.042992,0.764055,0.140561,,,,,,,3.804651,0.692932,3.766604,0.692932,942084319290487,352769580489998,942084252290487,942084249290487,942084278290487,,
1915119,4,18,4,127,20096,1,1,30,30,,,,,1,2.0,972,41,,,,7.3,0.0,1,5.2,53.0,,1.0,,,,,,,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,2.0,,,,,73.0,0.29064366,6.0180462857,121.385165,22.085341,254.476238,46.300506,144.625778,19.012953,56.505249,5.688383,,,174.969019,23.00197,12.844909,1.688632,,,,,4.981404,0.83955,0.442422,0.074565,0.602702,0.101578,4.881776,0.831155,4.93159,0.83955,0.437998,0.074565,0.596675,0.101578,,,,,,,6.026529,1.015692,5.966263,1.015692,942084343290487,352769580489998,942084252290487,942084249290487,942084302290487,,
1855673,1,17,3,31,22165,1,1,2,2,,,,,1,3.0,341,43,,,,5.8,0.0,1,,30.0,,1.0,,,,,,,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,85.0,0.18347256,6.0180462857,47.542499,7.162639,99.66981,15.016016,41.847323,8.936364,24.085997,4.489556,,,62.28339,13.300423,7.360439,1.571799,,,,,1.485455,0.430415,0.261274,0.075705,0.464146,0.134487,1.3072,0.387373,1.455746,0.430415,0.256048,0.075705,0.454863,0.134487,,,,,,,2.210874,0.640607,2.166657,0.640607,491758561126144,352769743489998,491758517126144,491758515126144,491758540126144,,
1852479,4,17,3,31,20133,1,1,26,26,,,,,1,3.0,314,31,,,,7.5,0.0,1,,39.0,,1.0,,,,,,,4.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,58.0,0.3067875,6.0180462857,118.590806,20.789459,249.664856,43.767281,126.869891,26.242381,63.357731,11.886441,,,154.375377,31.931748,14.088128,2.914056,,,,,4.116506,1.045067,0.457113,0.116048,0.435349,0.110523,3.58136,0.93011,4.034176,1.045067,0.447971,0.116048,0.426642,0.110523,,,,,,,5.008968,1.271639,4.908789,1.271639,491759001126144,352769757489998,491758923126144,491758922126144,491758962126144,,
1852359,4,17,3,31,20203,1,1,8,8,,,,,1,3.0,681,42,,,,5.1,0.0,1,,36.0,,1.0,,,,,,,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.14185854,6.0180462857,50.115936,7.61768,98.074239,14.907397,40.13416,6.95607,18.010412,3.496202,,,68.236967,11.82686,6.951486,1.204834,,,,,1.23081,0.350974,0.213184,0.060791,0.648656,0.184969,1.095421,0.319387,1.206194,0.350974,0.20892,0.060791,0.635683,0.184969,,,,,,,2.09265,0.596734,2.050797,0.596734,942212712290487,352769474489998,942212660290487,942212656290487,942212695290487,,
1837453,4,17,3,197,20077,1,2,1,1,,,,,1,3.0,8421,55,,,,8.8,0.0,1,3.9,28.0,,1.0,,,,,,,3.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,3.0,,,,,60.0,0.42235776,6.0180462857,131.889224,19.099523,278.835568,40.379542,123.773399,22.756286,100.172186,9.726008,,,150.916683,27.746699,18.862372,3.46793,,,,,3.719317,1.017116,0.566803,0.155003,0.248836,0.068049,3.124226,0.87472,3.644931,1.017116,0.555467,0.155003,0.24386,0.068049,,,,,,,4.534957,1.240167,4.444258,1.240167,942212216290487,352769475489998,942212200290487,942212197290487,942212215290487,,
