POPULATION_NAME,POPULATION_STRUCTURE_VERSION,LOCATION_NAME,ACRES,REPORT_YEAR,GENUS,ISOPRENE_EMITTED,MONOTERPENE_EMITTED,OTHER_VOCS_EMITTED,CN,PPN_CN,PSTR_CN,PSTREL_CN
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Crataegus,0.0,138.08692507327694,0,1586324749290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Ginkgo,154.3077725712188,3488.6974686104245,0,1586324751290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Malus,13.180820618741915,737.5528759445416,0,1586324757290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Morus,0.0,20645.60207880044,0,1586324758290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Pyrus,0.0,1077.8181877265724,0,1586324764290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Taxodium,0.0,2043.0703371399343,0,1586324767290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Acer,221.6519360764384,134101.34837585586,0,1586324741290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Fraxinus,0.0,0.0,0,1586324750290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Populus,119864.79148668243,14463.913354627222,0,1586324762290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Corylus,0.0,0.0,0,1586324748290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Juniperus,0.0,857.468220199561,0,1586324755290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Magnoliopsida,0.0,0.0,0,1586324756290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Platanus,2721.3759107103197,18.440682156977235,0,1586324761290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Tilia,0.0,0.0,0,1586324769290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Ailanthus,0.0,0.0,0,1586324742290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Catalpa,0.0,229.17600068978277,0,1586324744290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Picea,18627.644823478877,53583.71354438798,0,1586324759290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Prunus,0.0,1295.423603355588,0,1586324763290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Quercus,128480.87839308256,190120.19179246813,0,1586324765290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Rhamnus,35890.40461593309,0.0,0,1586324766290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Carya,0.0,126.000653317868,0,1586324743290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Celtis,0.0,787.4913574935149,0,1586324745290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Cornus,0.0,148.53928160211365,0,1586324747290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Gleditsia,0.0,0.0,0,1586324752290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Juglans,0.0,8819.164266365433,0,1586324754290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Pinus,0.16658128751151643,9050.092919331972,0,1586324760290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Cercis,0.6569726889365457,0.0,0,1586324746290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Gymnocladus,0.0,0.0,0,1586324753290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Thuja,0.2463342405869839,15.76501366414081,0,1586324768290487,148700,552320953126144,349163012489998
"Chicago, IL Urban Area",1.0,"City of Chicago, IL",149810.83144087,2022,Ulmus,0.0,13391.638701947326,0,1586324770290487,148700,552320953126144,349163012489998
