DB_VAR,LABEL_VAR,VAR_GROUP,GROUP_ORDER,WITHIN_GROUP_ORDER,ATTRIBUTE_LIST,PAGE_LIST,ROW_LIST,COL_LIST,MAX_COLS,DECODE_STATEMENT,FUNCTION_NAME,PRC_METADATA,ATTRIBUTE_REF,SQL_SELECT,SQL_JOIN,SQL_GROUPBY,CN
tre.abnormal_stem_termination,Abnormal stem termination,Tree condition,5.0,6.0,Y,Y,Y,Y,4,ID_TREE,"case coalesce(tre.abnormal_stem_termination,-1) when 0 then '`0001 Not abnormal' when 1 then '`0002 Abnormal (broken top)' when -1 then '`0003 Not available'else '`0004 Other'end",Indication of whether or not the tree length was unnaturally terminated.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_abnormal_termination;","case coalesce(tre.abnormal_stem_termination,-1) when 0 then '`0001 Not abnormal' when 1 then '`0002 Abnormal (broken top)' when -1 then '`0003 Not available' else '`0004 Other' end",,"case coalesce(tre.abnormal_stem_termination,-1) when 0 then '`0001 Not abnormal' when 1 then '`0002 Abnormal (broken top)' when -1 then '`0003 Not available'else '`0004 Other' end",211101238991109
cnd.afforestation_cd,Afforested,Forest characteristics,8.0,1.0,Y,Y,Y,Y,4,ID_COND,"case coalesce(cnd.AFFORESTATION_CD,-1) when 0 then '`0001 No' when 1 then '`0002 Yes'  when -1 then '`0003 Not available' else '`0004 Other'    end","Indication that a condition has no evidence of prior forest, but it does have evidence suggesting deliberate afforestation attempts (planted or prepared to promote tree establishment) to convert to forest in the current inventory cycle or since the last measurement.",,"case coalesce(cnd.AFFORESTATION_CD,-1) when 0 then '`0001 No' when 1 then '`0002 Yes'  when -1 then '`0003 Not available' else '`0004 Other'    end",,"case coalesce(cnd.AFFORESTATION_CD,-1) when 0 then '`0001 No' when 1 then '`0002 Yes'  when -1 then '`0003 Not available' else '`0004 Other'    end",211101239991109
tre.bole_stump_removed,Bole and stump removed (stem/tree),,,,N,Y,Y,Y,4,ID_TREE,"case coalesce(tre.bole_stump_removed,-1) when 0 then '`0001 Bole removed' when 1 then '`0002 Bole and stump removed' when -1 then '`0003 Not available'else '`0004 Other'end",Indication of whether or not the bole and stump have been removed from the site since the previous measurement.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_bole_stump_removed;","case coalesce(tre.bole_stump_removed,-1) when 0 then '`0001 Bole removed' when 1 then '`0002 Bole and stump removed' when -1 then '`0003 Not available' else '`0004 Other' end",,"case coalesce(tre.bole_stump_removed,-1) when 0 then '`0001 Bole removed' when 1 then '`0002 Bole and stump removed' when -1 then '`0003 Not available'else '`0004 Other'end",211101240991109
cnd.canopy_cvr_sample_method_cd,Canopy cover method,Measurement,10.0,4.0,Y,Y,Y,Y,5,ID_COND,"case coalesce(cnd.canopy_cvr_sample_method_cd,-1) when 1 then '`0001 Ocular' when 2 then '`0002 Sub-acre' when 3 then '`0003 Acre' when -1 then '`0004 Not available'else '`0005 Other'end","The canopy cover sample method used to determine live canopy cover percent, live missing canopy cover percent, and number of live stems.","SELECT ABBR as value,meaning FROM fs_fiadb_urban.ref_canopy_cover_sample_method order by value;","case coalesce(cnd.canopy_cvr_sample_method_cd,-1) when 1 then '`0001 Ocular' when 2 then '`0002 Sub-acre' when 3 then '`0003 Acre' when -1 then '`0004 Not available'else '`0005 Other'end",,"case coalesce(cnd.canopy_cvr_sample_method_cd,-1) when 1 then '`0001 Ocular' when 2 then '`0002 Sub-acre' when 3 then '`0003 Acre' when -1 then '`0004 Not available'else '`0005 Other'end",211101241991109
tre.cause_of_death,Cause of death (stem/tree),Tree condition,5.0,7.0,Y,Y,Y,Y,10,ID_TREE,"case coalesce(tre.cause_of_death,-1) when 10 then '`0001 Insect    '   when 20 then '`0002 Disease   '   when 30 then '`0003 Fire      '   when 40 then '`0004 Animal    '   when 50 then '`0005 Weather   ' when 60 then '`0006 Vegetation'   when 70 then '`0007 Unknown   '   when 80 then '`0008 Silvicultural' when -1 then '`0009 Not available'     else '`0010 Other'end",The cause of death for all trees that have died or have been cut since the previous inventory.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_cause_of_death;","case coalesce(tre.cause_of_death,-1) when 10 then '`0001 Insect'   when 20 then '`0002 Disease'   when 30 then '`0003 Fire'   when 40 then '`0004 Animal'   when 50 then '`0005 Weather' when 60 then '`0006 Vegetation'   when 70 then '`0007 Unknown'   when 80 then '`0008 Silvicultural' when -1 then '`0009 Not available'     else '`0010 Other' end",,"case coalesce(tre.cause_of_death,-1) when 10 then '`0001 Insect    '   when 20 then '`0002 Disease   '   when 30 then '`0003 Fire      '   when 40 then '`0004 Animal    '   when 50 then '`0005 Weather   ' when 60 then '`0006 Vegetation'   when 70 then '`0007 Unknown   '   when 80 then '`0008 Silvicultural' when -1 then '`0009 Not available'     else '`0010 Other'end",211101242991109
cnd.cond_sampling_status,Condition status,Area,1.0,3.0,Y,Y,Y,Y,7,ID_COND,"case coalesce(cnd.cond_status_cd,-1) when 1 then '`0001 Forest' when 2 then '`0002 Nonforest' when 3 then '`0003 Noncensus water' when 4 then '`0004 Census water' when 5 then '`0005 Nonsampled' when -1 then '`0006 Not available'     else '`0007 Other'end",Description of the sampling status of the condition class.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_condition_sampling_status  order by value;","case coalesce(cnd.cond_status_cd,-1) when 1 then '`0001 Forest' when 2 then '`0002 Nonforest' when 3 then '`0003 Noncensus water' when 4 then '`0004 Census water' when 5 then '`0005 Nonsampled' when -1 then '`0006 Not available'     else '`0007 Other'end",,"case coalesce(cnd.cond_status_cd,-1) when 1 then '`0001 Forest' when 2 then '`0002 Nonforest' when 3 then '`0003 Noncensus water' when 4 then '`0004 Census water' when 5 then '`0005 Nonsampled' when -1 then '`0006 Not available'     else '`0007 Other'end",211101243991109
cnd.cover_class,Cover class,Area,1.0,4.0,Y,Y,Y,Y,12,ID_COND,"case coalesce(cnd.cover_class, -1) when 1 then '`0001 Tree Cover' when 2 then '`0002 Shrub Cover' when 3 then '`0003 Herbaceous Cover' when 4 then '`0004 Non-vascular Vegetation Cover' when 5 then '`0005 Mixed Vegetation Cover' when 8 then '`0006 Barren' when 9 then '`0007 Impervious' when 10 then '`0008 Water' when -1 then '`0009 Not available' else '`0010 Unknown' end",The classification of land cover on sampled conditions.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_cover_class ORDER BY VALUE;","case coalesce(cnd.cover_class, -1) when 1 then '`0001 Tree Cover' when 2 then '`0002 Shrub Cover' when 3 then '`0003 Herbaceous Cover' when 4 then '`0004 Non-vascular Vegetation Cover' when 5 then '`0005 Mixed Vegetation Cover' when 8 then '`0006 Barren' when 9 then '`0007 Impervious' when 10 then '`0008 Water' when -1 then '`0009 Not available' else '`0010 Unknown' end",,"case coalesce(cnd.cover_class, -1) when 1 then '`0001 Tree Cover' when 2 then '`0002 Shrub Cover' when 3 then '`0003 Herbaceous Cover' when 4 then '`0004 Non-vascular Vegetation Cover' when 5 then '`0005 Mixed Vegetation Cover' when 8 then '`0006 Barren' when 9 then '`0007 Impervious' when 10 then '`0008 Water' when -1 then '`0009 Not available' else '`0010 Unknown' end",1232349502290487
tre.crown_class_cd,Crown class (stem/tree),Tree condition,5.0,3.0,Y,Y,Y,Y,7,ID_TREE,"case coalesce(tre.crown_class_cd,-1) when 1 then '`0001 Open Grown' when 2 then '`0002 Dominant' when 3 then '`0003 Co-dominant' when 4 then '`0004 Intermediate' when 5 then '`0005 Overtopped' when -1 then '`0006 Not available'     else '`0007 Other' end",The relative crown position of the tree within the stand.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_crown_class;","case coalesce(tre.crown_class_cd,-1) when 1 then '`0001 Open Grown' when 2 then '`0002 Dominant' when 3 then '`0003 Co-dominant' when 4 then '`0004 Intermediate' when 5 then '`0005 Overtopped' when -1 then '`0006 Not available'     else '`0007 Other' end",,"case coalesce(tre.crown_class_cd,-1) when 1 then '`0001 Open Grown' when 2 then '`0002 Dominant' when 3 then '`0003 Co-dominant' when 4 then '`0004 Intermediate' when 5 then '`0005 Overtopped' when -1 then '`0006 Not available'     else '`0007 Other' end",211101244991109
mtre.crown_dieback_cd,Crown dieback (mother tree),Tree condition,5.0,5.0,Y,Y,Y,Y,23,ID_MOTHER_TREE,"case coalesce(mtre.crown_dieback_cd,-1) when 0 then '`0001 0' when 5 then '`0002 1-5%' when 10 then '`0003 6-10%' when 15 then '`0004 11-15%' when 20 then '`0005 16-20%' when 25 then '`0006 21-25%' when 30 then '`0007 26-30%' when 35 then '`0008 31-35%' when 40 then '`0009 36-40%' when 45 then '`0010 41-45%' when 50 then '`0011 46-50%' when 55 then '`0012 51-55%' when 60 then '`0013 56-60%' when 65 then '`0014 61-65%' when 70 then '`0015 66-70%' when 75 then '`0016 71-75%' when 80 then '`0017 76-80%' when 85 then '`0018 81-85%' when 90 then '`0019 86-90%' when 95 then '`0020 91-95%' when 99 then '`0021 96-100%' when -1 then '`0022 Not available' else '`0023 Other'    end",The approximate percentage of dieback in the crown for the mother tree. Values are divided into ranges of 5 percent.,,"case coalesce(mtre.crown_dieback_cd,-1) when 0 then '`0001 0' when 5 then '`0002 1-5%' when 10 then '`0003 6-10%' when 15 then '`0004 11-15%' when 20 then '`0005 16-20%' when 25 then '`0006 21-25%' when 30 then '`0007 26-30%' when 35 then '`0008 31-35%' when 40 then '`0009 36-40%' when 45 then '`0010 41-45%' when 50 then '`0011 46-50%' when 55 then '`0012 51-55%' when 60 then '`0013 56-60%' when 65 then '`0014 61-65%' when 70 then '`0015 66-70%' when 75 then '`0016 71-75%' when 80 then '`0017 76-80%' when 85 then '`0018 81-85%' when 90 then '`0019 86-90%' when 95 then '`0020 91-95%' when 99 then '`0021 96-100%' when -1 then '`0022 Not available' else '`0023 Other'    end",,"case coalesce(mtre.crown_dieback_cd,-1) when 0 then '`0001 0' when 5 then '`0002 1-5%' when 10 then '`0003 6-10%' when 15 then '`0004 11-15%' when 20 then '`0005 16-20%' when 25 then '`0006 21-25%' when 30 then '`0007 26-30%' when 35 then '`0008 31-35%' when 40 then '`0009 36-40%' when 45 then '`0010 41-45%' when 50 then '`0011 46-50%' when 55 then '`0012 51-55%' when 60 then '`0013 56-60%' when 65 then '`0014 61-65%' when 70 then '`0015 66-70%' when 75 then '`0016 71-75%' when 80 then '`0017 76-80%' when 85 then '`0018 81-85%' when 90 then '`0019 86-90%' when 95 then '`0020 91-95%' when 99 then '`0021 96-100%' when -1 then '`0022 Not available' else '`0023 Other'    end",211101245991109
mtre.crown_light_exposure,Crown exposed to light (mother tree),Tree condition,5.0,4.0,Y,Y,Y,Y,8,ID_MOTHER_TREE,"case coalesce(mtre.crown_light_exposure,-1) when 0 then '`0001 No Light' when 1 then '`0002 Top or 1 Side' when 2 then '`0003 Top and 1 Side' when 3 then '`0004 Top and 2 Sides' when 4 then '`0005 Top and 3 Sides' when 5 then '`0006 Top and 4 Sides' when -1 then '`0007 Not available' else '`0008 Other' end",The number of sides of the crown for the mother tree that are exposed to direct sunlight.,"SELECT ABBR as value, meaning FROM fs_fiadb_urban.ref_crown_light_exposure;","case coalesce(mtre.crown_light_exposure,-1) when 0 then '`0001 No Light' when 1 then '`0002 Top or 1 Side' when 2 then '`0003 Top and 1 Side' when 3 then '`0004 Top and 2 Sides' when 4 then '`0005 Top and 3 Sides' when 5 then '`0006 Top and 4 Sides' when -1 then '`0007 Not available' else '`0008 Other' end",,"case coalesce(mtre.crown_light_exposure,-1) when 0 then '`0001 No Light' when 1 then '`0002 Top or 1 Side' when 2 then '`0003 Top and 1 Side' when 3 then '`0004 Top and 2 Sides' when 4 then '`0005 Top and 3 Sides' when 5 then '`0006 Top and 4 Sides' when -1 then '`0007 Not available' else '`0008 Other' end",211101246991109
