SAMPLE_NAME,REPORT_YEAR,ATTRIBUTE_NAME,CALCULATION_NAME,ADJUSTMENT_EXPRESSION,REQUIRED_SAMPLE_CONSTRAINT,DOMAIN_TYPE,CN,PSS_CN,PATTR_CN
ChiILUA2019Cur,2019,Annual value of electricity use avoided,Electricity Use Avoided Dollar Value (iTree),*CASE WHEN binta.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN binta.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,826498761290487,826498669290487,552303648126144
ChiILUA2019Cur,2019,"Net bole wood volume, live timber trees","Net Bole Wood Volume, Live Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,826498775290487,826498669290487,552303662126144
ChiILUA2019Cur,2019,"Area of impervious cover, in acres",Proportion Impervious Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,826498779290487,826498669290487,552303666126144
ChiILUA2019Cur,2019,"Area of sampled land and water, in acres",All Conditions,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,826498780290487,826498669290487,552303667126144
ChiILUA2019Cur,2019,"Whole-tree biomass, live and dead trees","Whole-tree Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,826498793290487,826498669290487,552303680126144
ChiILUA2019Cur,2019,"Sound total-stem wood volume, live and dead timber","Sound Total-Stem Wood Volume, Live and Dead Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676619606290487,826498669290487,1676618684290487
ChiILUA2019Cur,2019,"Area of water cover, in acres",Proportion Water Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,826498784290487,826498669290487,552303671126144
ChiILUA2019FS,2019,Compensatory value,Compensatory Value (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,826498803290487,826498670290487,552303641126144
ChiILUA2019FS,2019,Crown ground area,Crown Ground Area (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,826498804290487,826498670290487,552303642126144
ChiILUA2019FS,2019,"Aboveground biomass, live and dead trees","Aboveground Biomass, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,826498806290487,826498670290487,552303644126144
