SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
SprMOUA2018Inv,2018,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,742215623290487,742206337290487,414427301489998
SprMOUA2019Cur,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,928975553290487,928975528290487,414427302489998
SprMOUA2019FS,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,928975562290487,928975529290487,414427302489998
SprMOUA2019Inv,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,928975572290487,928975530290487,414427302489998
SprMOUA2020Cur,2020,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1302246749290487,1268231470290487,1268166132290487
SprMOUA2020FS,2020,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302246791290487,1268231471290487,1268170529290487
SprMOUA2020FS,2020,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1268231491290487,1268231471290487,414427303489998
SprMOUA2020Inv,2020,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247275290487,1268231472290487,1268170529290487
StMOUA2018Cur,2018,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247138290487,737683464290487,1268166839290487
StMOUA2018FS,2018,Live Seedling,SEEDLING,,737683493290487,737683465290487,414427304489998
StMOUA2018Inv,2018,Invasive Plant Species,INVASIVE,,737683495290487,737683466290487,414427307489998
StMOUA2019Cur,2019,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,932849322290487,932849304290487,414427302489998
StMOUA2019Cur,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,932849320290487,932849304290487,417940978489998
StMOUA2019FS,2019,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,932849329290487,932849305290487,417940978489998
StMOUA2019Inv,2019,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247175290487,932849306290487,1268170529290487
StMOUA2021Cur,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1268233089290487,1268233083290487,414427309489998
StMOUA2021Cur,2021,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302246899290487,1268233083290487,1268170529290487
StMOUA2021Inv,2021,Urban Forest,LAND,,1268233109290487,1268233085290487,414427308489998
StMOUA2021Inv,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1268233108290487,1268233085290487,414427309489998
StMOUA2021Inv,2021,"Standing Dead Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.dia>=1 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302247098290487,1268233085290487,1268166839290487
StMOUA2022Cur,2022,Sampled Land,LAND,id_cond.cond_status_cd<5,1491208849290487,1491208832290487,414427310489998
StMOUA2022FS,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1491208863290487,1491208833290487,414427306489998
StMOUA2022FS,2022,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1491208866290487,1491208833290487,417940978489998
StMOUA2022Inv,2022,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1491208877290487,1491208834290487,414427306489998
StMOUA2022Inv,2022,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1491208878290487,1491208834290487,414427309489998
WasDCUA2018Cur,2018,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,744909592290487,744909034290487,414427306489998
WasDCUA2018Cur,2018,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,744909593290487,744909034290487,414427309489998
WasDCUA2018Inv,2018,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302246887290487,744909036290487,1268170529290487
WasDCUA2018Inv,2018,Live Seedling,SEEDLING,,744909618290487,744909036290487,414427304489998
WasDCUA2019Cur,2019,Live Seedling,SEEDLING,,941644097290487,941620446290487,414427304489998
WasDCUA2019Inv,2019,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,941644106290487,941620447290487,414427303489998
WasDCUA2021Cur,2021,FIA Forest Land (Cover),LAND,id_cond.cond_status_cd=1,1273081963290487,1273081777290487,414427306489998
WasDCUA2021Cur,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1273081964290487,1273081777290487,414427309489998
WasDCUA2021Cur,2021,"Live Mother Tree (1""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=1,1302247020290487,1273081777290487,1268166131290487
WasDCUA2021Cur,2021,"Live Tree (1""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=1,1273081967290487,1273081777290487,414427301489998
