EVALID,EVAL_NAME,REPORT_YEAR,POPULATION_NAME,POPULATION_STRUCTURE_VERSION,POPULATION_ACRES,POPULATION_POINT_COUNT,POPULATION_PLOT_COUNT,ESTN_UNIT_NAME,ESTN_UNIT_ACRES,ESTN_UNIT_POINT_COUNT,ESTN_UNIT_PLOT_COUNT,STRATUM_NAME,STRATUM_LABEL,STRATUM_ACRES,STRATUM_POINT_COUNT,STRATUM_PLOT_COUNT,EXPNS,STRATUM_WEIGHT,STRATUM_SOURCE,STRATUM_SUBPLOT_ADJ_FACTOR,STRATUM_MICROPLOT_ADJ_FACTOR,EVAL_DESCRIPTION,STRATUM_DESCRIPTION,PE_CN,PSS_CN,PEU_CN,PSTREL_CN,PS_CN,CN,EVAL_GRP_ID,EVAL_GRP_NAME,EVAL_GRP_LABEL,PEG_CN
PortlandOR2021All,"Portland, OR 2021 All Area",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,203,"City of Portland, OR",92848.5544848036,417509,203,B,Dev-Open/Veg,9654.70719051149,43414,26,371.3348919427498,0.10398338718446788,NLCD 2016,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Open Space; Pasture/Hay; Grassland/Herbaceous; Cultivated Crops; Emergent Herbaceous Wetlands",1268197393290487,1268197213290487,1268197397290487,480970830489998,941394333290487,1275858057290487,,,,
PortlandOR2021All,"Portland, OR 2021 All Area",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,203,"City of Portland, OR",92848.5544848036,417509,203,F,Forest/Shrub,11284.581171238,50743,22,512.9355077835436,0.12153749979042368,NLCD 2016,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Deciduous Forest; Evergreen Forest; Mixed Forest; Shrub/Scrub; Woody Wetlands,1268197393290487,1268197213290487,1268197397290487,480970830489998,941394337290487,1275857945290487,,,,
PortlandOR2021All,"Portland, OR 2021 All Area",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,203,"City of Portland, OR",92848.5544848036,417509,203,E,Dev-High,15512.3795404003,69754,38,408.2205142210606,0.16707184755298687,NLCD 2016,1.0,1.0,"Evaluation used to produce estimates of the total population area and sample response rates for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, High Intensity; Barren Land",1268197393290487,1268197213290487,1268197397290487,480970830489998,941394336290487,1275857970290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,E,Dev-High,15512.3795404003,69754,37,419.2535010919001,0.16707184755298687,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, High Intensity; Barren Land",1268197394290487,1268197214290487,1268197398290487,480970830489998,941394336290487,1275858326290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,B,Dev-Open/Veg,9654.70719051149,43414,23,419.76987784832585,0.10398338718446788,NLCD 2016,1.0088463473753755,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Open Space; Pasture/Hay; Grassland/Herbaceous; Cultivated Crops; Emergent Herbaceous Wetlands",1268197394290487,1268197214290487,1268197398290487,480970830489998,941394333290487,1275858179290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,C,Dev-Low,22787.5463306153,102468,39,584.2960597593661,0.24542704468646184,NLCD 2016,1.1531047553457254,1.139706160857971,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Low Intensity",1268197394290487,1268197214290487,1268197398290487,480970830489998,941394334290487,1275858284290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,D,Dev-Med,27698.7398072646,124552,60,461.6456634544109,0.29832171282535225,NLCD 2016,1.0596143976124799,1.064664379297433,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Medium Intensity",1268197394290487,1268197214290487,1268197398290487,480970830489998,941394335290487,1275858221290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,A,Water,5910.60044477391,26578,13,454.6615726749161,0.06365850796030745,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Open Water,1268197394290487,1268197214290487,1268197398290487,480970830489998,941394332290487,1275858205290487,,,,
PortlandOR2021Curr,"Portland, OR 2021 Current Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,192,"City of Portland, OR",92848.5544848036,417509,192,F,Forest/Shrub,11284.581171238,50743,20,564.229058561898,0.12153749979042368,NLCD 2016,1.021301333091921,1.0126588474414944,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ",Deciduous Forest; Evergreen Forest; Mixed Forest; Shrub/Scrub; Woody Wetlands,1268197394290487,1268197214290487,1268197398290487,480970830489998,941394337290487,1275858156290487,,,,
PortlandOR2021FS,"Portland, OR 2021 Fully Sampled Curr Estimates",2021,"Portland, OR Urban Area",1.0,92848.5544848036,417509,170,"City of Portland, OR",92848.5544848036,417509,170,B,Dev-Open/Veg,9654.70719051149,43414,22,438.8503268414316,0.10398338718446788,NLCD 2016,1.0,1.0,"Evaluation used to produce current estimates of area and tree population attributes for the City of Portland, OR. This evaluation is a non-standard evaluation that uses a statistical sample constrained to only plots that were 100% sampled. The city boundary was defined using the 2010 U.S. Census Places spatial layer. ","Developed, Open Space; Pasture/Hay; Grassland/Herbaceous; Cultivated Crops; Emergent Herbaceous Wetlands",1268197395290487,1268197215290487,1268197399290487,480970830489998,941394333290487,1275858371290487,,,,
