CN,ECOPROV,SFTWD_HRDWD,CR_MEAN
347485210732862,132,S,0.439
347485211732862,132,H,0.416
347485212732862,133,S,0.496
347485213732862,133,H,0.415
347485214732862,211,S,0.426
347485215732862,211,H,0.392
347485216732862,212,S,0.48
347485217732862,212,H,0.386
347485218732862,221,S,0.422
347485219732862,221,H,0.385
347485220732862,222,S,0.445
347485221732862,222,H,0.388
347485222732862,223,S,0.428
347485223732862,223,H,0.385
347485224732862,231,S,0.348
347485225732862,231,H,0.374
347485226732862,232,S,0.331
347485227732862,232,H,0.358
347485228732862,234,S,0.406
347485229732862,234,H,0.389
347485230732862,242,S,0.482
347485231732862,242,H,0.356
347485232732862,251,S,0.621
347485233732862,251,H,0.385
347485234732862,255,S,0.431
347485235732862,255,H,0.366
347485236732862,261,S,0.389
347485237732862,261,H,0.402
347485238732862,262,S,0.288
347485239732862,262,H,0.4
347485240732862,263,S,0.403
347485241732862,263,H,0.381
347485242732862,313,S,0.657
347485243732862,313,H,0.469
347485244732862,315,S,0.742
347485245732862,315,H,0.436
347485246732862,321,S,0.631
347485247732862,321,H,0.638
347485248732862,322,S,0.648
347485249732862,322,H,0.565
347485250732862,331,S,0.563
347485251732862,331,H,0.412
347485252732862,332,S,0.564
347485253732862,332,H,0.389
347485254732862,341,S,0.685
347485255732862,341,H,0.399
347485256732862,342,S,0.656
347485257732862,342,H,0.402
347485258732862,411,S,0.295
347485259732862,411,H,0.281
347485260732862,ISLAN,H,0.287
347485261732862,M132,S,0.459
347485262732862,M132,H,0.424
347485263732862,M133,S,0.558
347485264732862,M133,H,0.449
347485265732862,M134,S,0.587
347485266732862,M134,H,0.524
347485267732862,M211,S,0.412
347485268732862,M211,H,0.39
347485269732862,M221,S,0.422
347485270732862,M221,H,0.376
347485271732862,M223,S,0.443
347485272732862,M223,H,0.403
347485273732862,M231,S,0.364
347485274732862,M231,H,0.414
347485275732862,M241,S,0.427
347485276732862,M241,H,0.44
347485277732862,M242,S,0.504
347485278732862,M242,H,0.378
347485279732862,M261,S,0.486
347485280732862,M261,H,0.407
347485281732862,M262,S,0.617
347485282732862,M262,H,0.411
347485283732862,M313,S,0.567
347485284732862,M313,H,0.533
347485285732862,M331,S,0.561
347485286732862,M331,H,0.372
347485287732862,M332,S,0.536
347485288732862,M332,H,0.435
347485289732862,M333,S,0.488
347485290732862,M333,H,0.389
347485291732862,M334,S,0.498
347485292732862,M334,H,0.479
347485293732862,M341,S,0.666
347485294732862,M341,H,0.409
347485295732862,UNDEFINED,S,0.468
347485296732862,UNDEFINED,H,0.38
