STATECD,VALUE,MEANING,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1,1,Southwest-South,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
1,2,Southwest-North,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
1,3,Southeast,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
1,4,West Central,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
1,5,North Central,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
1,6,North,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
2,1,Alaska,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
4,1,Southern,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
4,2,Northern,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
5,1,South Delta,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
5,2,North Delta,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
5,3,Southwest,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
5,4,Ouachita,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
5,5,Ozark,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,1,North Coast,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,2,North Interior,NIMS_2_1,2005-02-24 09:42:33,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,3,Sacramento,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,4,Central Coast,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,5,San Joaquin,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
6,6,Southern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
8,1,Northern Front Range,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
8,2,Southern Front Range,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
8,3,West Central,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
8,4,Western,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
8,5,Eastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
9,1,State,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
10,1,State,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
11,1,District of Columbia,NIMS_2_1_LK,2005-06-07 09:13:29,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
12,1,Northeast,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
12,2,Northwest,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
12,3,Central,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
12,4,South,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
13,1,Southeast,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
13,2,Southwest,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
13,3,Central,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
13,4,North Central,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
13,5,North,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
15,1,Hawaii,NIMS_2_1,2005-02-24 09:42:34,333,FS_NIMS_FIADB_STORE,2015-02-13 08:46:48,440
16,1,Northern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
16,2,Southwestern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
16,3,Southeastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
